
Predictions were generated on 14-Jan-2021 at 17:43:24 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.5.0-10-gb4fd3acc
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn

Description from the FAST input file: IEA task 37 RWT turbine -- https://github.com/IEAWindTask37/IEA-3.4-130-RWT

Time	Azimuth	BldPitch1	GenSpeed	IPDefl1	LSSGagMya	LSSGagMza	OoPDefl1	RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RotSpeed	RotTorq	YawPzn
(s)	(deg)	(deg)	(rpm)	(m)	(kN-m)	(kN-m)	(m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(rpm)	(kN-m)	(deg)
    0.0000	 0.000E+00	 1.170E+00	 9.715E+02	 0.000E+00	-1.894E+03	 2.386E+01	 0.000E+00	 6.979E+00	 3.099E-02	 2.131E+02	-4.622E+00	 5.284E+01	 4.975E-16	 1.004E+01	-1.113E+01	 0.000E+00
    0.0063	 3.765E-01	 1.170E+00	 9.715E+02	-1.350E-04	-1.894E+03	 4.443E+01	 1.565E-03	 1.761E+01	-2.786E+00	 2.063E+02	 2.189E+01	 1.958E+02	-4.477E+01	 1.004E+01	 9.431E+01	 0.000E+00
    0.0125	 7.530E-01	 1.170E+00	 9.715E+02	-5.340E-04	-1.898E+03	 5.458E+01	 6.153E-03	 1.795E+01	-3.702E+00	 2.070E+02	 1.098E+01	 2.061E+02	-4.178E+01	 1.004E+01	 5.464E+01	 0.000E+00
    0.0188	 1.130E+00	 1.170E+00	 9.715E+02	-1.193E-03	-1.903E+03	 6.016E+01	 1.366E-02	 1.782E+01	-3.799E+00	 2.067E+02	 2.306E+01	 2.100E+02	-4.378E+01	 1.004E+01	 7.818E+01	 0.000E+00
    0.0250	 1.506E+00	 1.170E+00	 9.715E+02	-2.120E-03	-1.912E+03	 6.362E+01	 2.413E-02	 1.797E+01	-4.416E+00	 2.072E+02	 1.722E+01	 2.216E+02	-4.259E+01	 1.004E+01	 5.065E+01	 0.000E+00
    0.0312	 1.883E+00	 1.170E+00	 9.715E+02	-3.315E-03	-1.922E+03	 6.397E+01	 3.748E-02	 1.814E+01	-4.887E+00	 2.075E+02	 1.425E+01	 2.357E+02	-4.213E+01	 1.004E+01	 2.994E+01	 0.000E+00
    0.0375	 2.259E+00	 1.170E+00	 9.715E+02	-4.779E-03	-1.935E+03	 6.173E+01	 5.361E-02	 1.839E+01	-5.346E+00	 2.079E+02	 1.016E+01	 2.534E+02	-4.155E+01	 1.004E+01	 4.729E+00	 0.000E+00
    0.0438	 2.635E+00	 1.170E+00	 9.715E+02	-6.513E-03	-1.950E+03	 5.709E+01	 7.242E-02	 1.874E+01	-5.792E+00	 2.083E+02	 5.182E+00	 2.752E+02	-4.095E+01	 1.004E+01	-2.452E+01	 0.000E+00
    0.0500	 3.012E+00	 1.170E+00	 9.715E+02	-8.517E-03	-1.967E+03	 5.025E+01	 9.378E-02	 1.921E+01	-6.226E+00	 2.088E+02	-5.065E-01	 3.013E+02	-4.032E+01	 1.004E+01	-5.742E+01	 0.000E+00
    0.0563	 3.388E+00	 1.170E+00	 9.715E+02	-1.079E-02	-1.985E+03	 4.146E+01	 1.176E-01	 1.981E+01	-6.648E+00	 2.092E+02	-6.748E+00	 3.319E+02	-3.967E+01	 1.004E+01	-9.370E+01	 0.000E+00
    0.0625	 3.765E+00	 1.170E+00	 9.715E+02	-1.333E-02	-2.006E+03	 3.100E+01	 1.437E-01	 2.055E+01	-7.060E+00	 2.097E+02	-1.339E+01	 3.672E+02	-3.902E+01	 1.004E+01	-1.331E+02	 0.000E+00
    0.0688	 4.141E+00	 1.170E+00	 9.715E+02	-1.615E-02	-2.028E+03	 1.916E+01	 1.720E-01	 2.145E+01	-7.462E+00	 2.102E+02	-2.031E+01	 4.074E+02	-3.836E+01	 1.004E+01	-1.754E+02	 0.000E+00
    0.0750	 4.518E+00	 1.170E+00	 9.715E+02	-1.922E-02	-2.052E+03	 6.259E+00	 2.023E-01	 2.251E+01	-7.853E+00	 2.107E+02	-2.735E+01	 4.527E+02	-3.770E+01	 1.004E+01	-2.202E+02	 0.000E+00
    0.0813	 4.894E+00	 1.170E+00	 9.715E+02	-2.257E-02	-2.077E+03	-7.444E+00	 2.345E-01	 2.375E+01	-8.237E+00	 2.112E+02	-3.439E+01	 5.033E+02	-3.706E+01	 1.004E+01	-2.674E+02	 0.000E+00
    0.0875	 5.271E+00	 1.170E+00	 9.715E+02	-2.617E-02	-2.102E+03	-2.379E+01	 2.686E-01	 2.517E+01	-8.614E+00	 2.117E+02	-4.129E+01	 5.593E+02	-3.642E+01	 1.004E+01	-3.175E+02	 0.000E+00
    0.0938	 5.648E+00	 1.170E+00	 9.715E+02	-3.004E-02	-2.130E+03	-3.797E+01	 3.043E-01	 2.663E+01	-8.990E+00	 2.122E+02	-4.854E+01	 6.185E+02	-3.566E+01	 1.004E+01	-3.704E+02	 0.000E+00
    0.1000	 6.024E+00	 1.170E+00	 9.715E+02	-3.416E-02	-2.160E+03	-5.045E+01	 3.416E-01	 2.831E+01	-9.364E+00	 2.128E+02	-5.549E+01	 6.834E+02	-3.500E+01	 1.004E+01	-4.243E+02	 0.000E+00
    0.1063	 6.400E+00	 1.170E+00	 9.715E+02	-3.853E-02	-2.189E+03	-6.341E+01	 3.802E-01	 3.030E+01	-9.737E+00	 2.133E+02	-6.155E+01	 7.557E+02	-3.434E+01	 1.004E+01	-4.788E+02	 0.000E+00
    0.1125	 6.777E+00	 1.170E+00	 9.715E+02	-4.315E-02	-2.219E+03	-7.617E+01	 4.202E-01	 3.252E+01	-1.011E+01	 2.139E+02	-6.688E+01	 8.337E+02	-3.398E+01	 1.004E+01	-5.338E+02	 0.000E+00
    0.1188	 7.154E+00	 1.170E+00	 9.715E+02	-4.801E-02	-2.248E+03	-8.782E+01	 4.613E-01	 3.498E+01	-1.049E+01	 2.144E+02	-7.122E+01	 9.179E+02	-3.335E+01	 1.004E+01	-5.890E+02	 0.000E+00
    0.1250	 7.530E+00	 1.170E+00	 9.715E+02	-5.311E-02	-2.277E+03	-9.847E+01	 5.035E-01	 3.767E+01	-1.088E+01	 2.149E+02	-7.461E+01	 1.008E+03	-3.259E+01	 1.004E+01	-6.442E+02	 0.000E+00
    0.1313	 7.906E+00	 1.170E+00	 9.715E+02	-5.844E-02	-2.306E+03	-1.082E+02	 5.468E-01	 4.054E+01	-1.128E+01	 2.154E+02	-7.700E+01	 1.103E+03	-3.244E+01	 1.004E+01	-6.993E+02	 0.000E+00
    0.1375	 8.283E+00	 1.170E+00	 9.715E+02	-6.400E-02	-2.335E+03	-1.158E+02	 5.910E-01	 4.361E+01	-1.171E+01	 2.160E+02	-7.806E+01	 1.202E+03	-3.187E+01	 1.004E+01	-7.535E+02	 0.000E+00
    0.1438	 8.660E+00	 1.170E+00	 9.715E+02	-6.977E-02	-2.363E+03	-1.222E+02	 6.362E-01	 4.684E+01	-1.215E+01	 2.165E+02	-7.781E+01	 1.306E+03	-3.143E+01	 1.004E+01	-8.068E+02	 0.000E+00
    0.1500	 9.036E+00	 1.170E+00	 9.715E+02	-7.574E-02	-2.390E+03	-1.267E+02	 6.823E-01	 5.022E+01	-1.263E+01	 2.170E+02	-7.604E+01	 1.415E+03	-3.099E+01	 1.004E+01	-8.585E+02	 0.000E+00
    0.1562	 9.413E+00	 1.170E+00	 9.715E+02	-8.192E-02	-2.416E+03	-1.295E+02	 7.293E-01	 5.372E+01	-1.314E+01	 2.175E+02	-7.264E+01	 1.526E+03	-3.042E+01	 1.004E+01	-9.082E+02	 0.000E+00
