
Predictions were generated on 23-Jul-2020 at 12:26:53 using AA 
 AeroAcoustics
Number of observers      :    2
Number of frequencies    :   34
     Time           	Obs1_Freq10         	Obs1_Freq12.5       	Obs1_Freq16         	Obs1_Freq20         	Obs1_Freq25         	Obs1_Freq31.5       	Obs1_Freq40         	Obs1_Freq50         	Obs1_Freq63         	Obs1_Freq80         	Obs1_Freq100        	Obs1_Freq125        	Obs1_Freq160        	Obs1_Freq200        	Obs1_Freq250        	Obs1_Freq315        	Obs1_Freq400        	Obs1_Freq500        	Obs1_Freq630        	Obs1_Freq800        	Obs1_Freq1000       	Obs1_Freq1250       	Obs1_Freq1600       	Obs1_Freq2000       	Obs1_Freq2500       	Obs1_Freq3150       	Obs1_Freq4000       	Obs1_Freq5000       	Obs1_Freq6300       	Obs1_Freq8000       	Obs1_Freq10000      	Obs1_Freq12500      	Obs1_Freq16000      	Obs1_Freq20000      	Obs2_Freq10         	Obs2_Freq12.5       	Obs2_Freq16         	Obs2_Freq20         	Obs2_Freq25         	Obs2_Freq31.5       	Obs2_Freq40         	Obs2_Freq50         	Obs2_Freq63         	Obs2_Freq80         	Obs2_Freq100        	Obs2_Freq125        	Obs2_Freq160        	Obs2_Freq200        	Obs2_Freq250        	Obs2_Freq315        	Obs2_Freq400        	Obs2_Freq500        	Obs2_Freq630        	Obs2_Freq800        	Obs2_Freq1000       	Obs2_Freq1250       	Obs2_Freq1600       	Obs2_Freq2000       	Obs2_Freq2500       	Obs2_Freq3150       	Obs2_Freq4000       	Obs2_Freq5000       	Obs2_Freq6300       	Obs2_Freq8000       	Obs2_Freq10000      	Obs2_Freq12500      	Obs2_Freq16000      	Obs2_Freq20000      
      (s)           	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 
         0.0000	  2.549646E+001	  2.762776E+001	  2.994742E+001	  3.203782E+001	  3.413598E+001	  3.629236E+001	  3.840510E+001	  4.022327E+001	  4.195778E+001	  4.363648E+001	  4.513345E+001	  4.635250E+001	  4.661853E+001	  4.534001E+001	  4.305888E+001	  4.080985E+001	  3.868523E+001	  3.690611E+001	  3.544372E+001	  3.449147E+001	  3.376959E+001	  3.259257E+001	  3.068011E+001	  2.909165E+001	  2.751413E+001	  2.569844E+001	  2.364927E+001	  2.172488E+001	  1.969036E+001	  1.750369E+001	  1.536082E+001	  1.310428E+001	  1.045703E+001	  7.910658E+000	  7.190932E+000	  9.264916E+000	  1.156002E+001	  1.365756E+001	  1.577656E+001	  1.793059E+001	  1.994479E+001	  2.157891E+001	  2.307910E+001	  2.449831E+001	  2.572044E+001	  2.663556E+001	  2.667981E+001	  2.537302E+001	  2.316154E+001	  2.097707E+001	  1.892440E+001	  1.717905E+001	  1.569947E+001	  1.468506E+001	  1.390788E+001	  1.270109E+001	  1.077981E+001	  9.178047E+000	  7.584807E+000	  5.753190E+000	  3.687443E+000	  1.746353E+000	 -3.050349E-001	 -2.507117E+000	 -4.661509E+000	 -6.926207E+000	 -9.578354E+000	 -1.212571E+001
         0.1000	  7.208982E+001	  7.115663E+001	  7.001683E+001	  6.888447E+001	  6.764944E+001	  6.625547E+001	  6.468477E+001	  6.309271E+001	  6.131332E+001	  5.932617E+001	  5.735054E+001	  5.525926E+001	  5.289946E+001	  5.082679E+001	  4.867417E+001	  4.667463E+001	  4.465405E+001	  4.277178E+001	  4.077184E+001	  3.868755E+001	  3.678162E+001	  3.458496E+001	  3.208770E+001	  2.999338E+001	  2.803427E+001	  2.596453E+001	  2.372549E+001	  2.165545E+001	  1.948680E+001	  1.718002E+001	  1.495159E+001	  1.264458E+001	  9.987855E+000	  7.473454E+000	  5.186415E+001	  5.092106E+001	  4.977052E+001	  4.862872E+001	  4.738467E+001	  4.598215E+001	  4.440420E+001	  4.280727E+001	  4.102517E+001	  3.903476E+001	  3.705981E+001	  3.496254E+001	  3.260763E+001	  3.057244E+001	  2.838408E+001	  2.642222E+001	  2.442630E+001	  2.256149E+001	  2.057681E+001	  1.849060E+001	  1.659244E+001	  1.431852E+001	  1.183557E+001	  9.764421E+000	  7.831861E+000	  5.783156E+000	  3.560322E+000	  1.509142E+000	 -6.370863E-001	 -2.919412E+000	 -5.125374E+000	 -7.411543E+000	 -1.004823E+001	 -1.254777E+001
         0.2000	  7.225589E+001	  7.132618E+001	  7.019035E+001	  6.906177E+001	  6.783068E+001	  6.644090E+001	  6.487450E+001	  6.328623E+001	  6.150995E+001	  5.952503E+001	  5.754962E+001	  5.545716E+001	  5.309880E+001	  5.102936E+001	  4.888008E+001	  4.689731E+001	  4.489845E+001	  4.299836E+001	  4.097446E+001	  3.889791E+001	  3.698078E+001	  3.477050E+001	  3.226526E+001	  3.015943E+001	  2.819246E+001	  2.612083E+001	  2.387914E+001	  2.180906E+001	  1.964305E+001	  1.734120E+001	  1.511871E+001	  1.281836E+001	  1.016922E+001	  7.661500E+000	  5.182606E+001	  5.090446E+001	  4.977941E+001	  4.866263E+001	  4.744578E+001	  4.607380E+001	  4.452976E+001	  4.296599E+001	  4.121823E+001	  3.926015E+001	  3.731091E+001	  3.523034E+001	  3.288710E+001	  3.085529E+001	  2.864579E+001	  2.668520E+001	  2.470605E+001	  2.282878E+001	  2.081108E+001	  1.873058E+001	  1.682281E+001	  1.453219E+001	  1.203839E+001	  9.960250E+000	  8.033845E+000	  6.001901E+000	  3.793037E+000	  1.759728E+000	 -3.652604E-001	 -2.625508E+000	 -4.812235E+000	 -7.081078E+000	 -9.700872E+000	 -1.218681E+001
         0.3000	  7.232636E+001	  7.139614E+001	  7.025976E+001	  6.913065E+001	  6.789902E+001	  6.650868E+001	  6.494171E+001	  6.335331E+001	  6.157529E+001	  5.959121E+001	  5.761594E+001	  5.552485E+001	  5.316991E+001	  5.110611E+001	  4.897125E+001	  4.701359E+001	  4.501548E+001	  4.308084E+001	  4.104727E+001	  3.897181E+001	  3.704874E+001	  3.482817E+001	  3.231715E+001	  3.020744E+001	  2.823817E+001	  2.616467E+001	  2.392340E+001	  2.185631E+001	  1.969577E+001	  1.740151E+001	  1.518690E+001	  1.289406E+001	  1.025141E+001	  7.747064E+000	  5.233513E+001	  5.143189E+001	  5.032814E+001	  4.923170E+001	  4.803631E+001	  4.668765E+001	  4.516855E+001	  4.362849E+001	  4.190286E+001	  3.997014E+001	  3.803952E+001	  3.597333E+001	  3.363396E+001	  3.159641E+001	  2.939473E+001	  2.745436E+001	  2.547092E+001	  2.354031E+001	  2.150582E+001	  1.943609E+001	  1.752950E+001	  1.525154E+001	  1.275323E+001	  1.067633E+001	  8.756696E+000	  6.733874E+000	  4.535484E+000	  2.514716E+000	  4.043680E-001	 -1.840463E+000	 -4.013893E+000	 -6.271724E+000	 -8.883081E+000	 -1.136515E+001
         0.4000	  7.233244E+001	  7.140127E+001	  7.026378E+001	  6.913360E+001	  6.790080E+001	  6.650913E+001	  6.494071E+001	  6.335086E+001	  6.157239E+001	  5.958550E+001	  5.760868E+001	  5.551508E+001	  5.315655E+001	  5.108864E+001	  4.894338E+001	  4.696548E+001	  4.496436E+001	  4.305736E+001	  4.103215E+001	  3.895038E+001	  3.702847E+001	  3.481601E+001	  3.231544E+001	  3.021479E+001	  2.825091E+001	  2.617716E+001	  2.393732E+001	  2.186809E+001	  1.970216E+001	  1.740000E+001	  1.517682E+001	  1.287508E+001	  1.022308E+001	  7.711211E+000	  5.320924E+001	  5.231759E+001	  5.122682E+001	  5.014224E+001	  4.895875E+001	  4.762223E+001	  4.611480E+001	  4.458511E+001	  4.286936E+001	  4.094501E+001	  3.901877E+001	  3.695296E+001	  3.460521E+001	  3.254798E+001	  3.033275E+001	  2.835728E+001	  2.636813E+001	  2.447124E+001	  2.244715E+001	  2.038148E+001	  1.848731E+001	  1.625790E+001	  1.377941E+001	  1.171919E+001	  9.810469E+000	  7.791803E+000	  5.597330E+000	  3.574026E+000	  1.455632E+000	 -8.014757E-001	 -2.988467E+000	 -5.260420E+000	 -7.886477E+000	 -1.038004E+001
         0.5000	  7.228756E+001	  7.135472E+001	  7.021528E+001	  6.908321E+001	  6.784837E+001	  6.645446E+001	  6.488346E+001	  6.329150E+001	  6.151019E+001	  5.952343E+001	  5.754756E+001	  5.545736E+001	  5.310067E+001	  5.103340E+001	  4.889214E+001	  4.690805E+001	  4.488081E+001	  4.296304E+001	  4.093477E+001	  3.884616E+001	  3.692037E+001	  3.470586E+001	  3.220285E+001	  3.010507E+001	  2.814307E+001	  2.606606E+001	  2.382922E+001	  2.176378E+001	  1.960209E+001	  1.730431E+001	  1.508451E+001	  1.278451E+001	  1.013156E+001	  7.615655E+000	  5.370145E+001	  5.280929E+001	  5.171770E+001	  5.063207E+001	  4.944710E+001	  4.810851E+001	  4.659820E+001	  4.506520E+001	  4.334551E+001	  4.141785E+001	  3.948933E+001	  3.742603E+001	  3.508062E+001	  3.302050E+001	  3.083272E+001	  2.884930E+001	  2.684113E+001	  2.494933E+001	  2.293363E+001	  2.087381E+001	  1.899149E+001	  1.680660E+001	  1.433384E+001	  1.228161E+001	  1.037687E+001	  8.354831E+000	  6.160437E+000	  4.136287E+000	  2.016570E+000	 -2.417909E-001	 -2.429840E+000	 -4.703130E+000	 -7.331608E+000	 -9.828732E+000
         0.6000	  7.242070E+001	  7.148563E+001	  7.034336E+001	  6.920833E+001	  6.797015E+001	  6.657238E+001	  6.499726E+001	  6.340097E+001	  6.161775E+001	  5.963287E+001	  5.766864E+001	  5.560545E+001	  5.329437E+001	  5.127608E+001	  4.920524E+001	  4.720752E+001	  4.503157E+001	  4.297553E+001	  4.087408E+001	  3.875708E+001	  3.683729E+001	  3.460628E+001	  3.209303E+001	  3.000324E+001	  2.805584E+001	  2.599870E+001	  2.380109E+001	  2.177944E+001	  1.966463E+001	  1.741095E+001	  1.522235E+001	  1.293886E+001	  1.028375E+001	  7.747593E+000	  5.399195E+001	  5.309553E+001	  5.199887E+001	  5.090826E+001	  4.971788E+001	  4.837323E+001	  4.685656E+001	  4.531674E+001	  4.359160E+001	  4.166060E+001	  3.973654E+001	  3.769381E+001	  3.538715E+001	  3.336797E+001	  3.128174E+001	  2.932964E+001	  2.723256E+001	  2.520429E+001	  2.314498E+001	  2.108332E+001	  1.921584E+001	  1.705166E+001	  1.456863E+001	  1.252435E+001	  1.063102E+001	  8.620146E+000	  6.451622E+000	  4.457990E+000	  2.372604E+000	  1.484033E-001	 -2.013612E+000	 -4.270883E+000	 -6.896644E+000	 -9.405500E+000
         0.7000	  7.267740E+001	  7.174097E+001	  7.059679E+001	  6.945967E+001	  6.821913E+001	  6.681895E+001	  6.524218E+001	  6.364650E+001	  6.186968E+001	  5.990463E+001	  5.798147E+001	  5.602421E+001	  5.385000E+001	  5.183253E+001	  4.956940E+001	  4.730345E+001	  4.498572E+001	  4.286206E+001	  4.070864E+001	  3.860206E+001	  3.673593E+001	  3.455970E+001	  3.205185E+001	  2.997638E+001	  2.805399E+001	  2.603276E+001	  2.388948E+001	  2.192189E+001	  1.985857E+001	  1.764730E+001	  1.548419E+001	  1.321023E+001	  1.054692E+001	  7.988261E+000	  5.443679E+001	  5.354024E+001	  5.244328E+001	  5.135224E+001	  5.016133E+001	  4.881614E+001	  4.729917E+001	  4.575991E+001	  4.403848E+001	  4.211760E+001	  4.021923E+001	  3.823415E+001	  3.602331E+001	  3.410096E+001	  3.209754E+001	  3.000125E+001	  2.770474E+001	  2.560886E+001	  2.348042E+001	  2.139363E+001	  1.956901E+001	  1.746754E+001	  1.498970E+001	  1.295800E+001	  1.108158E+001	  9.092470E+000	  6.960343E+000	  5.004490E+000	  2.956943E+000	  7.659517E-001	 -1.374353E+000	 -3.621693E+000	 -6.251459E+000	 -8.776718E+000
         0.8000	  7.294273E+001	  7.201137E+001	  7.087290E+001	  6.974111E+001	  6.850629E+001	  6.711310E+001	  6.554692E+001	  6.396984E+001	  6.223523E+001	  6.037132E+001	  5.860256E+001	  5.673041E+001	  5.440171E+001	  5.209343E+001	  4.962297E+001	  4.722122E+001	  4.482209E+001	  4.267883E+001	  4.055167E+001	  3.849232E+001	  3.667151E+001	  3.456469E+001	  3.206464E+001	  3.000686E+001	  2.812080E+001	  2.615015E+001	  2.407042E+001	  2.216176E+001	  2.015176E+001	  1.798363E+001	  1.584820E+001	  1.358928E+001	  1.092845E+001	  8.360423E+000	  5.494092E+001	  5.405264E+001	  5.296499E+001	  5.188264E+001	  5.070082E+001	  4.936569E+001	  4.786048E+001	  4.633573E+001	  4.463830E+001	  4.277513E+001	  4.099125E+001	  3.923314E+001	  3.723600E+001	  3.512956E+001	  3.273951E+001	  3.036604E+001	  2.796029E+001	  2.578071E+001	  2.362933E+001	  2.160597E+001	  1.986452E+001	  1.787930E+001	  1.538933E+001	  1.335650E+001	  1.150061E+001	  9.551692E+000	  7.477679E+000	  5.583849E+000	  3.598596E+000	  1.462602E+000	 -6.391573E-001	 -2.862293E+000	 -5.482092E+000	 -8.012128E+000
