
Predictions were generated on 28-Jul-2020 at 13:34:37 using AA AeroAcoustics

Number of observers      :    2
Description from AA input file, line2: IEA task 37 RWT turbine -- https://github.com/IEAWindTask37/IEA-3.4-130-RWT

     Time           	Obs1                	Obs2                
      (s)           	OASPL               	OASPL               
         0.0000	  5.972896E+001	  4.247486E+001
         0.1000	  7.954620E+001	  6.048010E+001
         0.2000	  7.971397E+001	  6.098862E+001
         0.3000	  7.967783E+001	  6.149302E+001
         0.4000	  7.959076E+001	  6.204880E+001
         0.5000	  7.950632E+001	  6.237025E+001
         0.6000	  7.959880E+001	  6.292043E+001
         0.7000	  7.976932E+001	  6.414208E+001
         0.8000	  7.995026E+001	  6.247049E+001
         0.9000	  8.002017E+001	  6.200800E+001
         1.0000	  7.994060E+001	  6.191852E+001
         1.1000	  7.987960E+001	  6.206769E+001
         1.2000	  7.985500E+001	  6.233732E+001
         1.3000	  7.975183E+001	  6.260265E+001
         1.4000	  7.965869E+001	  6.300556E+001
         1.5000	  7.967735E+001	  6.349134E+001
         1.6000	  7.969023E+001	  6.377448E+001
         1.7000	  7.964109E+001	  6.385039E+001
         1.8000	  7.961404E+001	  6.389074E+001
         1.9000	  7.966633E+001	  6.392264E+001
         2.0000	  7.977584E+001	  6.390347E+001
         2.1000	  7.984478E+001	  6.375435E+001
         2.2000	  7.981120E+001	  6.340050E+001
         2.3000	  7.973620E+001	  6.294604E+001
         2.4000	  7.971442E+001	  6.267944E+001
         2.5000	  7.979658E+001	  6.282900E+001
         2.6000	  7.991665E+001	  6.341294E+001
         2.7000	  7.991771E+001	  6.412859E+001
         2.8000	  7.977832E+001	  6.183489E+001
         2.9000	  7.964821E+001	  6.120328E+001
         3.0000	  7.965109E+001	  6.142616E+001
         3.1000	  7.977651E+001	  6.208344E+001
         3.2000	  7.986924E+001	  6.266380E+001
         3.3000	  7.978705E+001	  6.293197E+001
         3.4000	  7.960484E+001	  6.308146E+001
         3.5000	  7.951558E+001	  6.337699E+001
         3.6000	  7.961383E+001	  6.382734E+001
         3.7000	  7.980687E+001	  6.420019E+001
         3.8000	  7.987529E+001	  6.423564E+001
         3.9000	  7.974801E+001	  6.394490E+001
         4.0000	  7.959970E+001	  6.359908E+001
         4.1000	  7.960995E+001	  6.340458E+001
         4.2000	  7.978555E+001	  6.334543E+001
         4.3000	  7.995124E+001	  6.323927E+001
         4.4000	  7.992769E+001	  6.297430E+001
         4.5000	  7.977113E+001	  6.278945E+001
         4.6000	  7.967429E+001	  6.311732E+001
         4.7000	  7.972406E+001	  6.388368E+001
         4.8000	  7.984930E+001	  6.179175E+001
         4.9000	  7.988994E+001	  6.146223E+001
         5.0000	  7.979306E+001	  6.167060E+001
         5.1000	  7.967921E+001	  6.208413E+001
         5.2000	  7.964304E+001	  6.248076E+001
         5.3000	  7.967779E+001	  6.284205E+001
         5.4000	  7.972256E+001	  6.322461E+001
         5.5000	  7.971621E+001	  6.359259E+001
         5.6000	  7.968777E+001	  6.389551E+001
         5.7000	  7.968437E+001	  6.407049E+001
         5.8000	  7.969249E+001	  6.406394E+001
         5.9000	  7.970719E+001	  6.390885E+001
         6.0000	  7.973104E+001	  6.369697E+001
         6.1000	  7.976215E+001	  6.352035E+001
         6.2000	  7.980284E+001	  6.336745E+001
         6.3000	  7.982013E+001	  6.313332E+001
         6.4000	  7.980160E+001	  6.284136E+001
         6.5000	  7.978626E+001	  6.274935E+001
         6.6000	  7.979305E+001	  6.324322E+001
         6.7000	  7.981068E+001	  6.398420E+001
