
Predictions were generated on 05-Nov-2019 at 08:39:54 using OpenFAST, compiled as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST Certification Test #02: AWT-27CR2 with many DOFs with startup and shutdown and steady wind

Time      	Wind1VelX 	Wind1VelY 	Wind1VelZ 	Spn1ALxb1 	Spn1ALyb1 	Spn1ALzb1 	RotSpeed  	LSSGagVxa 	RootFxb1  	RootFyb1  	RootFxb2  	RootFyb2  	RootMIP2  	RootMOoP2 	Spn1MLxb1 	Spn1MLyb1 	RotTorq   	LSSTipMys 	LSSTipMzs 	LSSGagMya 	LSSGagMza 	HSShftTq  	HSSBrTq   	HSShftPwr 	GenTq     	GenPwr    
(s)       	(m/s)     	(m/s)     	(m/s)     	(m/s^2)   	(m/s^2)   	(m/s^2)   	(rpm)     	(rpm)     	(kN)      	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kW)      	(kN-m)    	(kW)      
    5.0000	 1.200E+01	-0.000E+00	 0.000E+00	 2.557E-02	 7.203E-03	-1.374E-02	 1.801E-01	 1.801E-01	 3.281E+00	-3.194E-01	 2.892E+00	 1.314E-01	-1.025E+00	 1.532E+01	-2.003E-01	 3.857E+00	 3.532E-02	 3.533E+00	-3.299E-01	 8.024E+00	-7.465E-01	 1.570E-03	 0.000E+00	 6.660E-04	 0.000E+00	 0.000E+00
    5.0400	 1.200E+01	-0.000E+00	 0.000E+00	 2.639E-02	 8.021E-03	-8.567E-03	 1.805E-01	 1.805E-01	 3.289E+00	-3.230E-01	 2.903E+00	 1.341E-01	-1.037E+00	 1.540E+01	-1.975E-01	 3.879E+00	 3.815E-02	 3.517E+00	-3.376E-01	 8.008E+00	-7.592E-01	 1.695E-03	 0.000E+00	 7.211E-04	 0.000E+00	 0.000E+00
    5.0800	 1.200E+01	-0.000E+00	 0.000E+00	 2.573E-02	 8.560E-03	-6.350E-03	 1.810E-01	 1.810E-01	 3.298E+00	-3.265E-01	 2.914E+00	 1.369E-01	-1.050E+00	 1.545E+01	-1.946E-01	 3.894E+00	 3.827E-02	 3.500E+00	-3.440E-01	 7.992E+00	-7.706E-01	 1.701E-03	 0.000E+00	 7.254E-04	 0.000E+00	 0.000E+00
    5.1200	 1.200E+01	-0.000E+00	 0.000E+00	 2.473E-02	 8.901E-03	-7.258E-03	 1.815E-01	 1.815E-01	 3.305E+00	-3.298E-01	 2.924E+00	 1.399E-01	-1.065E+00	 1.550E+01	-1.914E-01	 3.900E+00	 3.486E-02	 3.484E+00	-3.487E-01	 7.975E+00	-7.803E-01	 1.549E-03	 0.000E+00	 6.625E-04	 0.000E+00	 0.000E+00
    5.1600	 1.200E+01	-0.000E+00	 0.000E+00	 2.287E-02	 9.014E-03	-1.119E-02	 1.819E-01	 1.819E-01	 3.312E+00	-3.330E-01	 2.933E+00	 1.430E-01	-1.081E+00	 1.552E+01	-1.880E-01	 3.898E+00	 2.847E-02	 3.468E+00	-3.519E-01	 7.959E+00	-7.884E-01	 1.265E-03	 0.000E+00	 5.423E-04	 0.000E+00	 0.000E+00
    5.2000	 1.200E+01	-0.000E+00	 0.000E+00	 1.838E-02	 8.786E-03	-1.781E-02	 1.822E-01	 1.822E-01	 3.320E+00	-3.362E-01	 2.943E+00	 1.462E-01	-1.098E+00	 1.555E+01	-1.846E-01	 3.894E+00	 2.075E-02	 3.453E+00	-3.543E-01	 7.943E+00	-7.959E-01	 9.222E-04	 0.000E+00	 3.959E-04	 0.000E+00	 0.000E+00
    5.2400	 1.200E+01	-0.000E+00	 0.000E+00	 9.113E-03	 8.087E-03	-2.657E-02	 1.824E-01	 1.824E-01	 3.330E+00	-3.396E-01	 2.955E+00	 1.494E-01	-1.115E+00	 1.558E+01	-1.815E-01	 3.895E+00	 1.377E-02	 3.439E+00	-3.571E-01	 7.929E+00	-8.038E-01	 6.120E-04	 0.000E+00	 2.631E-04	 0.000E+00	 0.000E+00
    5.2800	 1.200E+01	-0.000E+00	 0.000E+00	-6.398E-03	 6.852E-03	-3.678E-02	 1.825E-01	 1.826E-01	 3.343E+00	-3.431E-01	 2.971E+00	 1.524E-01	-1.131E+00	 1.564E+01	-1.788E-01	 3.904E+00	 9.268E-03	 3.426E+00	-3.613E-01	 7.915E+00	-8.131E-01	 4.119E-04	 0.000E+00	 1.772E-04	 0.000E+00	 0.000E+00
    5.3200	 1.200E+01	-0.000E+00	 0.000E+00	-2.811E-02	 5.126E-03	-4.773E-02	 1.827E-01	 1.827E-01	 3.360E+00	-3.468E-01	 2.990E+00	 1.552E-01	-1.145E+00	 1.573E+01	-1.767E-01	 3.926E+00	 8.024E-03	 3.413E+00	-3.672E-01	 7.904E+00	-8.242E-01	 3.566E-04	 0.000E+00	 1.535E-04	 0.000E+00	 0.000E+00
    5.3600	 1.200E+01	-0.000E+00	 0.000E+00	-5.423E-02	 3.091E-03	-5.872E-02	 1.828E-01	 1.828E-01	 3.379E+00	-3.508E-01	 3.011E+00	 1.579E-01	-1.158E+00	 1.585E+01	-1.751E-01	 3.958E+00	 9.632E-03	 3.402E+00	-3.748E-01	 7.894E+00	-8.370E-01	 4.281E-04	 0.000E+00	 1.844E-04	 0.000E+00	 0.000E+00
    5.4000	 1.200E+01	-0.000E+00	 0.000E+00	-8.154E-02	 1.024E-03	-6.911E-02	 1.829E-01	 1.829E-01	 3.400E+00	-3.548E-01	 3.034E+00	 1.605E-01	-1.170E+00	 1.597E+01	-1.736E-01	 3.994E+00	 1.270E-02	 3.392E+00	-3.832E-01	 7.885E+00	-8.507E-01	 5.643E-04	 0.000E+00	 2.432E-04	 0.000E+00	 0.000E+00
    5.4400	 1.200E+01	-0.000E+00	 0.000E+00	-1.063E-01	-7.642E-04	-7.832E-02	 1.831E-01	 1.831E-01	 3.420E+00	-3.589E-01	 3.055E+00	 1.631E-01	-1.183E+00	 1.609E+01	-1.721E-01	 4.028E+00	 1.537E-02	 3.382E+00	-3.913E-01	 7.876E+00	-8.643E-01	 6.833E-04	 0.000E+00	 2.948E-04	 0.000E+00	 0.000E+00
    5.4800	 1.200E+01	-0.000E+00	 0.000E+00	-1.251E-01	-2.004E-03	-8.589E-02	 1.833E-01	 1.833E-01	 3.436E+00	-3.627E-01	 3.073E+00	 1.658E-01	-1.196E+00	 1.619E+01	-1.701E-01	 4.055E+00	 1.604E-02	 3.373E+00	-3.984E-01	 7.868E+00	-8.767E-01	 7.128E-04	 0.000E+00	 3.079E-04	 0.000E+00	 0.000E+00
    5.5200	 1.200E+01	-0.000E+00	 0.000E+00	-1.359E-01	-2.533E-03	-9.140E-02	 1.835E-01	 1.835E-01	 3.449E+00	-3.664E-01	 3.087E+00	 1.688E-01	-1.210E+00	 1.625E+01	-1.676E-01	 4.071E+00	 1.383E-02	 3.365E+00	-4.038E-01	 7.860E+00	-8.874E-01	 6.145E-04	 0.000E+00	 2.657E-04	 0.000E+00	 0.000E+00
    5.5600	 1.200E+01	-0.000E+00	 0.000E+00	-1.386E-01	-2.319E-03	-9.453E-02	 1.836E-01	 1.836E-01	 3.457E+00	-3.698E-01	 3.097E+00	 1.718E-01	-1.226E+00	 1.629E+01	-1.645E-01	 4.075E+00	 8.894E-03	 3.356E+00	-4.076E-01	 7.851E+00	-8.966E-01	 3.953E-04	 0.000E+00	 1.710E-04	 0.000E+00	 0.000E+00
    5.6000	 1.200E+01	-0.000E+00	 0.000E+00	-1.342E-01	-1.450E-03	-9.506E-02	 1.837E-01	 1.837E-01	 3.462E+00	-3.731E-01	 3.103E+00	 1.750E-01	-1.243E+00	 1.630E+01	-1.609E-01	 4.072E+00	 2.280E-03	 3.348E+00	-4.104E-01	 7.841E+00	-9.047E-01	 1.013E-04	 0.000E+00	 4.385E-05	 0.000E+00	 0.000E+00
