
Predictions were generated on 08-Jan-2026 at 16:52:34 using AA AeroAcoustics

Number of observers      :2
Description from AA input file, line2: IEA task 37 RWT turbine -- https://github.com/IEAWindTask37/IEA-3.4-130-RWT

     Time           	Obs1                	Obs2                
      (s)           	OASPL               	OASPL               
         0.0000	  6.090718E+001	  4.329816E+001
         0.1000	  6.688031E+001	  4.841762E+001
         0.2000	  6.698658E+001	  4.923481E+001
         0.3000	  6.691582E+001	  5.024352E+001
         0.4000	  6.683500E+001	  5.154635E+001
         0.5000	  6.677612E+001	  5.296626E+001
         0.6000	  6.693942E+001	  5.564806E+001
         0.7000	  6.734581E+001	  5.973362E+001
         0.8000	  6.782011E+001	  5.451776E+001
         0.9000	  6.790840E+001	  5.188074E+001
         1.0000	  6.758105E+001	  5.095019E+001
         1.1000	  6.740247E+001	  5.080803E+001
         1.2000	  6.733136E+001	  5.086429E+001
         1.3000	  6.715867E+001	  5.073921E+001
         1.4000	  6.708894E+001	  5.102227E+001
         1.5000	  6.718012E+001	  5.151228E+001
         1.6000	  6.718822E+001	  5.162091E+001
         1.7000	  6.712043E+001	  5.161644E+001
         1.8000	  6.715619E+001	  5.178136E+001
         1.9000	  6.723876E+001	  5.187676E+001
         2.0000	  6.730459E+001	  5.189783E+001
         2.1000	  6.733446E+001	  5.195181E+001
         2.2000	  6.728571E+001	  5.198239E+001
         2.3000	  6.719931E+001	  5.213341E+001
         2.4000	  6.716269E+001	  5.280314E+001
         2.5000	  6.722421E+001	  5.431193E+001
         2.6000	  6.731620E+001	  5.670257E+001
         2.7000	  6.727983E+001	  5.916937E+001
         2.8000	  6.714860E+001	  5.261830E+001
         2.9000	  6.708444E+001	  5.054622E+001
         3.0000	  6.711137E+001	  5.032659E+001
         3.1000	  6.721375E+001	  5.066947E+001
         3.2000	  6.729890E+001	  5.110931E+001
         3.3000	  6.723216E+001	  5.115590E+001
         3.4000	  6.711048E+001	  5.120414E+001
         3.5000	  6.709353E+001	  5.144582E+001
         3.6000	  6.718600E+001	  5.173876E+001
         3.7000	  6.732791E+001	  5.196133E+001
         3.8000	  6.735468E+001	  5.195630E+001
         3.9000	  6.724034E+001	  5.176531E+001
         4.0000	  6.716029E+001	  5.166681E+001
         4.1000	  6.717898E+001	  5.177203E+001
         4.2000	  6.727253E+001	  5.206575E+001
         4.3000	  6.735306E+001	  5.247796E+001
         4.4000	  6.729513E+001	  5.301589E+001
         4.5000	  6.718290E+001	  5.419360E+001
         4.6000	  6.715290E+001	  5.652198E+001
         4.7000	  6.717754E+001	  5.948150E+001
         4.8000	  6.722628E+001	  5.259162E+001
         4.9000	  6.723260E+001	  5.061285E+001
         5.0000	  6.717334E+001	  5.032995E+001
         5.1000	  6.715186E+001	  5.070237E+001
         5.2000	  6.716621E+001	  5.114776E+001
         5.3000	  6.717613E+001	  5.118340E+001
         5.4000	  6.719643E+001	  5.127165E+001
         5.5000	  6.719869E+001	  5.146870E+001
         5.6000	  6.721144E+001	  5.171967E+001
         5.7000	  6.725082E+001	  5.191783E+001
         5.8000	  6.724967E+001	  5.190065E+001
         5.9000	  6.723308E+001	  5.178066E+001
         6.0000	  6.723393E+001	  5.173271E+001
         6.1000	  6.724234E+001	  5.182946E+001
         6.2000	  6.726872E+001	  5.206520E+001
         6.3000	  6.727341E+001	  5.239418E+001
         6.4000	  6.723320E+001	  5.300246E+001
         6.5000	  6.720782E+001	  5.439275E+001
         6.6000	  6.720136E+001	  5.687793E+001
         6.7000	  6.719791E+001	  5.991405E+001
         6.8000	  6.719904E+001	  5.230136E+001
         6.9000	  6.718028E+001	  5.057062E+001
         7.0000	  6.716721E+001	  5.037422E+001
         7.1000	  6.717886E+001	  5.069319E+001
         7.2000	  6.717702E+001	  5.105988E+001
         7.3000	  6.716861E+001	  5.113946E+001
         7.4000	  6.717078E+001	  5.131765E+001
         7.5000	  6.718780E+001	  5.154810E+001
         7.6000	  6.723181E+001	  5.176210E+001
         7.7000	  6.725845E+001	  5.186592E+001
         7.8000	  6.723664E+001	  5.183187E+001
         7.9000	  6.721088E+001	  5.176486E+001
         8.0000	  6.721595E+001	  5.176562E+001
         8.1000	  6.725571E+001	  5.187218E+001
         8.2000	  6.729777E+001	  5.207267E+001
         8.3000	  6.727687E+001	  5.238900E+001
         8.4000	  6.720802E+001	  5.307265E+001
         8.5000	  6.716540E+001	  5.459477E+001
         8.6000	  6.717891E+001	  5.713084E+001
         8.7000	  6.723128E+001	  6.068410E+001
         8.8000	  6.725137E+001	  5.206422E+001
         8.9000	  6.719121E+001	  5.053282E+001
         9.0000	  6.711738E+001	  5.027740E+001
         9.1000	  6.710647E+001	  5.058650E+001
         9.2000	  6.716540E+001	  5.105398E+001
         9.3000	  6.724324E+001	  5.128057E+001
         9.4000	  6.724884E+001	  5.144879E+001
         9.5000	  6.718226E+001	  5.153750E+001
         9.6000	  6.714338E+001	  5.164066E+001
         9.7000	  6.717878E+001	  5.177841E+001
         9.8000	  6.726704E+001	  5.190213E+001
         9.9000	  6.732241E+001	  5.192287E+001
        10.0000	  6.728029E+001	  5.181935E+001
        10.1000	  6.720894E+001	  5.176403E+001
        10.2000	  6.719072E+001	  5.194111E+001
        10.3000	  6.722812E+001	  5.243932E+001
        10.4000	  6.727593E+001	  5.335567E+001
        10.5000	  6.726678E+001	  5.492562E+001
        10.6000	  6.720185E+001	  5.720934E+001
        10.7000	  6.716072E+001	  6.054155E+001
        10.8000	  6.716253E+001	  5.172083E+001
        10.9000	  6.718105E+001	  5.051069E+001
        11.0000	  6.719249E+001	  5.031928E+001
        11.1000	  6.717492E+001	  5.061164E+001
        11.2000	  6.716200E+001	  5.105423E+001
        11.3000	  6.717596E+001	  5.129161E+001
        11.4000	  6.718929E+001	  5.147126E+001
        11.5000	  6.719886E+001	  5.158055E+001
        11.6000	  6.720781E+001	  5.167836E+001
        11.7000	  6.722082E+001	  5.178399E+001
        11.8000	  6.724776E+001	  5.187188E+001
        11.9000	  6.726092E+001	  5.186866E+001
        12.0000	  6.724864E+001	  5.180120E+001
        12.1000	  6.723710E+001	  5.180582E+001
        12.2000	  6.723545E+001	  5.200842E+001
        12.3000	  6.724202E+001	  5.249527E+001
        12.4000	  6.724457E+001	  5.339476E+001
        12.5000	  6.722378E+001	  5.502009E+001
        12.6000	  6.719817E+001	  5.743291E+001
        12.7000	  6.718724E+001	  5.772206E+001
        12.8000	  6.718069E+001	  5.157002E+001
        12.9000	  6.717507E+001	  5.047764E+001
        13.0000	  6.716785E+001	  5.036221E+001
        13.1000	  6.716308E+001	  5.069169E+001
        13.2000	  6.717472E+001	  5.108157E+001
        13.3000	  6.718735E+001	  5.125561E+001
        13.4000	  6.718750E+001	  5.143827E+001
        13.5000	  6.718710E+001	  5.159131E+001
        13.6000	  6.719838E+001	  5.171673E+001
        13.7000	  6.722895E+001	  5.181670E+001
        13.8000	  6.726027E+001	  5.186274E+001
        13.9000	  6.725999E+001	  5.183266E+001
        14.0000	  6.723578E+001	  5.178374E+001
        14.1000	  6.722053E+001	  5.182364E+001
        14.2000	  6.723261E+001	  5.205027E+001
        14.3000	  6.725955E+001	  5.254499E+001
        14.4000	  6.726143E+001	  5.347178E+001
        14.5000	  6.721951E+001	  5.518946E+001
        14.6000	  6.717184E+001	  5.769486E+001
        14.7000	  6.715879E+001	  5.626157E+001
        14.8000	  6.718388E+001	  5.142677E+001
        14.9000	  6.721218E+001	  5.051350E+001
        15.0000	  6.719749E+001	  5.043376E+001
        15.1000	  6.715016E+001	  5.069941E+001
        15.2000	  6.712630E+001	  5.100744E+001
        15.3000	  6.715445E+001	  5.122037E+001
        15.4000	  6.721301E+001	  5.149925E+001
        15.5000	  6.724715E+001	  5.168707E+001
        15.6000	  6.722604E+001	  5.174864E+001
        15.7000	  6.719219E+001	  5.175617E+001
        15.8000	  6.719691E+001	  5.178103E+001
        15.9000	  6.724255E+001	  5.183102E+001
        16.0000	  6.728849E+001	  5.187877E+001
        16.1000	  6.728305E+001	  5.191199E+001
        16.2000	  6.723506E+001	  5.203653E+001
        16.3000	  6.720295E+001	  5.248760E+001
        16.4000	  6.720797E+001	  5.353530E+001
        16.5000	  6.722860E+001	  5.548371E+001
