
Predictions were generated on 05-Feb-2026 at 17:40:39 using FAST.Farm, compiled on Feb  5 2026 at 14:22:10 as a 64-bit application using double precision at commit HEAD-HASH-NOTFOUND and with OpenMP
 linked with  NWTC Subroutine Library

Description from the FAST.Farm input file: FAST.Farm input file, using two turbines separated by 3D downstream and an offset of 30m, with a turbulent inflow given by one turbsim box

Time                	RtVAmbT1            	RtVAmbT2            	RtVRelT2            	YawErrT1            	YawErrT2            	CtT1N02             	CtT1N03             	CtT1N04             	CtT1N05             	CtT1N06             	WkAxsXT2D1          	WkAxsYT2D1          	WkAxsZT2D1          	WkPosXT2D1          	WkPosYT2D1          	WkPosZT2D1          	WkDfVxT1N01D1       	WkDfVxT1N02D1       	WkDfVxT1N03D1       	WkDfVxT1N04D1       	WkDfVxT1N05D1       	WkDfVxT1N06D1       	WkDfVxT1N07D1       	WkDfVrT1N01D1       	WkDfVrT1N02D1       	WkDfVrT1N03D1       	WkDfVrT1N04D1       	WkDfVrT1N05D1       	WkDfVrT1N06D1       	WkDfVrT1N07D1       	WkDfVxT2N01D1       	WkDfVxT2N02D1       	WkDfVxT2N03D1       	WkDfVxT2N04D1       	WkDfVxT2N05D1       	WkDfVxT2N06D1       	WkDfVxT2N07D1       	WkDfVrT2N01D1       	WkDfVrT2N02D1       	WkDfVrT2N03D1       	WkDfVrT2N04D1       	WkDfVrT2N05D1       	WkDfVrT2N06D1       	WkDfVrT2N07D1       
(s)                 	(m/s)        	(m/s)        	(m/s)        	(deg)        	(deg)        	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(m)          	(m)          	(m)          	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        
    0.0000	 7.505E+00	 9.005E+00	 9.457E+00	 6.148E-01	 2.115E-01	 8.021E-01	 8.021E-01	 8.021E-01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    3.0000	 7.538E+00	 8.969E+00	 9.625E+00	-8.759E-01	-7.169E-01	 7.760E-01	 7.760E-01	 7.760E-01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    6.0000	 7.567E+00	 8.783E+00	 9.188E+00	 6.940E+00	-2.101E+00	 7.575E-01	 7.575E-01	 7.575E-01	 0.000E+00	 0.000E+00	 9.962E-01	 1.088E-33	-8.716E-02	 4.361E+02	-1.439E+00	 8.893E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-1.271E+00	-2.563E+00	-4.000E+00	-3.763E+00	-6.713E-02	-6.369E-05	-1.243E-16	 0.000E+00	 7.943E-02	-1.050E-02	-7.195E-02	-1.905E-01	-1.476E-01	-7.946E-02
    9.0000	 7.548E+00	 8.588E+00	 9.083E+00	 9.398E-01	-1.521E+00	 7.782E-01	 7.782E-01	 7.782E-01	 0.000E+00	 0.000E+00	 9.962E-01	 1.088E-33	-8.716E-02	 4.364E+02	-2.407E+00	 9.135E+01	-3.664E+00	-3.664E+00	-3.664E+00	-3.473E+00	-2.604E-01	-4.451E-04	-3.196E-19	 0.000E+00	-5.394E-07	-2.627E-05	-3.311E-02	-1.832E-01	-1.286E-01	-6.923E-02	-1.762E+00	-2.720E+00	-3.927E+00	-3.544E+00	-1.126E-01	-2.113E-04	-1.045E-16	 0.000E+00	 6.262E-02	 1.156E-02	-8.753E-02	-1.510E-01	-1.128E-01	-6.075E-02
   12.0000	 7.382E+00	 8.458E+00	 8.666E+00	 1.033E+01	-4.848E+00	 7.685E-01	 7.685E-01	 7.685E-01	 0.000E+00	 0.000E+00	 9.962E-01	 1.088E-33	-8.716E-02	 4.364E+02	-2.028E+00	 9.201E+01	-3.664E+00	-3.664E+00	-3.664E+00	-3.374E+00	-3.019E-01	-9.579E-04	-1.112E-18	 0.000E+00	-1.656E-06	-7.151E-05	-4.553E-02	-1.540E-01	-1.047E-01	-5.630E-02	-1.759E+00	-2.719E+00	-3.927E+00	-3.545E+00	-1.122E-01	-2.074E-04	-1.045E-16	 0.000E+00	 6.260E-02	 1.190E-02	-8.759E-02	-1.503E-01	-1.122E-01	-6.042E-02
   15.0000	 7.284E+00	 8.443E+00	 8.524E+00	-9.790E-01	-3.858E+00	 7.874E-01	 7.874E-01	 7.874E-01	 0.000E+00	 0.000E+00	 9.961E-01	 6.709E-05	-8.861E-02	 4.365E+02	-2.748E+00	 9.197E+01	-3.665E+00	-3.665E+00	-3.664E+00	-3.373E+00	-2.995E-01	-9.611E-04	-1.276E-18	 0.000E+00	-1.704E-06	-7.277E-05	-4.590E-02	-1.544E-01	-1.052E-01	-5.655E-02	-1.682E+00	-2.684E+00	-3.948E+00	-3.828E+00	-1.192E-01	-2.035E-04	-8.913E-17	 0.000E+00	 6.141E-02	 1.580E-02	-1.030E-01	-1.937E-01	-1.475E-01	-7.942E-02
   18.0000	 7.324E+00	 8.265E+00	 8.384E+00	 5.549E+00	-4.808E+00	 7.723E-01	 7.723E-01	 7.723E-01	 0.000E+00	 0.000E+00	 9.960E-01	 7.724E-05	-8.952E-02	 4.366E+02	-3.348E+00	 9.215E+01	-3.668E+00	-3.668E+00	-3.667E+00	-3.281E+00	-2.306E-01	-7.195E-04	-1.836E-18	 0.000E+00	-3.203E-06	-1.234E-04	-6.019E-02	-1.506E-01	-1.051E-01	-5.652E-02	-1.765E+00	-2.775E+00	-4.044E+00	-4.025E+00	-1.821E-01	-2.858E-04	-8.051E-17	 0.000E+00	 6.327E-02	 1.646E-02	-1.006E-01	-2.285E-01	-1.721E-01	-9.265E-02
   21.0000	 7.337E+00	 8.115E+00	 8.073E+00	-1.210E+00	-3.806E+00	 7.813E-01	 7.813E-01	 7.813E-01	 0.000E+00	 0.000E+00	 9.959E-01	 9.811E-05	-9.026E-02	 4.367E+02	-4.542E+00	 9.340E+01	-3.600E+00	-3.600E+00	-3.599E+00	-3.190E+00	-1.824E-01	-4.727E-04	-9.041E-19	 0.000E+00	-2.755E-06	-1.148E-04	-6.273E-02	-1.376E-01	-9.704E-02	-5.221E-02	-1.749E+00	-2.705E+00	-3.913E+00	-4.133E+00	-2.348E-01	-4.309E-04	-8.597E-17	 0.000E+00	 5.997E-02	 1.975E-02	-9.486E-02	-2.522E-01	-1.894E-01	-1.020E-01
   24.0000	 7.290E+00	 8.134E+00	 7.966E+00	 2.419E+00	-4.703E+00	 7.785E-01	 7.785E-01	 7.785E-01	 0.000E+00	 0.000E+00	 9.959E-01	 1.293E-04	-9.066E-02	 4.368E+02	-6.110E+00	 9.399E+01	-3.672E+00	-3.672E+00	-3.672E+00	-3.303E+00	-2.196E-01	-5.730E-04	-9.203E-19	 0.000E+00	-2.612E-06	-1.056E-04	-5.666E-02	-1.452E-01	-1.014E-01	-5.455E-02	-1.680E+00	-2.608E+00	-3.854E+00	-4.210E+00	-2.927E-01	-5.606E-04	-9.481E-17	 0.000E+00	 5.965E-02	 2.500E-02	-9.105E-02	-2.725E-01	-2.041E-01	-1.099E-01
   27.0000	 7.236E+00	 8.033E+00	 7.730E+00	 4.083E+00	-5.460E+00	 7.992E-01	 7.992E-01	 7.992E-01	 0.000E+00	 0.000E+00	 9.959E-01	 1.469E-04	-9.076E-02	 4.368E+02	-7.329E+00	 9.365E+01	-3.578E+00	-3.578E+00	-3.577E+00	-3.199E+00	-2.049E-01	-5.663E-04	-6.650E-19	 0.000E+00	-2.570E-06	-1.080E-04	-5.834E-02	-1.405E-01	-9.825E-02	-5.286E-02	-1.656E+00	-2.577E+00	-3.817E+00	-4.337E+00	-3.510E-01	-7.837E-04	-1.094E-16	 0.000E+00	 5.889E-02	 2.695E-02	-9.069E-02	-3.059E-01	-2.312E-01	-1.245E-01
