
 Case: Ideal_Beam_Free_Free_Linear:1.lin: :
            Freq (Hz)        Damp (%)
           3.569355377     -0.000000000
           3.569355378      0.000000000
           9.542622004      0.000000000
           9.542622005      0.000000000
          18.173633526     -0.000000000
          18.173633527      0.000000000
          30.608224635     -0.000000000
          30.608224635      0.000000000
          42.582758409      0.000000000
          42.582758409      0.000000000

 Case: Ideal_Beam_Free_Free_Linear:BD1.lin: :
            Freq (Hz)        Damp (%)
           0.570963415     -0.000000000
           0.570963424     -0.000000000
           3.546155604     -0.000000000
           3.546155605     -0.000000000
           9.763888291      0.000000000
           9.763888291      0.000000000
          18.694578736     -0.000000000
          18.694578736     -0.000000000
          33.978106303      0.000000000
          33.978106303      0.000000000
