
Predictions were generated on 05-Feb-2026 at 17:39:56 using FAST.Farm, compiled on Feb  5 2026 at 14:22:10 as a 64-bit application using double precision at commit HEAD-HASH-NOTFOUND and with OpenMP
 linked with  NWTC Subroutine Library

Description from the FAST.Farm input file: FAST.Farm input file, using two turbines separated by 3D downstream and an offset of 30m, with a turbulent inflow given by one turbsim box

Time                	RtVAmbT1            	RtVAmbT2            	RtVRelT2            	YawErrT1            	YawErrT2            	CtT1N02             	CtT1N03             	CtT1N04             	CtT1N05             	CtT1N06             	WkAxsXT2D1          	WkAxsYT2D1          	WkAxsZT2D1          	WkPosXT2D1          	WkPosYT2D1          	WkPosZT2D1          	WkDfVxT1N01D1       	WkDfVxT1N02D1       	WkDfVxT1N03D1       	WkDfVxT1N04D1       	WkDfVxT1N05D1       	WkDfVxT1N06D1       	WkDfVxT1N07D1       	WkDfVrT1N01D1       	WkDfVrT1N02D1       	WkDfVrT1N03D1       	WkDfVrT1N04D1       	WkDfVrT1N05D1       	WkDfVrT1N06D1       	WkDfVrT1N07D1       	WkDfVxT2N01D1       	WkDfVxT2N02D1       	WkDfVxT2N03D1       	WkDfVxT2N04D1       	WkDfVxT2N05D1       	WkDfVxT2N06D1       	WkDfVxT2N07D1       	WkDfVrT2N01D1       	WkDfVrT2N02D1       	WkDfVrT2N03D1       	WkDfVrT2N04D1       	WkDfVrT2N05D1       	WkDfVrT2N06D1       	WkDfVrT2N07D1       
(s)                 	(m/s)        	(m/s)        	(m/s)        	(deg)        	(deg)        	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(m)          	(m)          	(m)          	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        
    0.0000	7.50368071	9.00463009	9.45738506	-1.18298960	0.211488113	0.562663496	0.663882911	0.744898558	-0.219659982E-3	-0.916622184E-6	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
    3.0000	7.53676414	8.96869659	9.62475586	1.12029505	-0.716930747	0.478268325	0.733898342	0.748489141	-0.214458778E-3	-0.894918060E-6	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
    6.0000	7.56694555	8.78279114	9.18836498	3.38816118	-2.10060430	0.462204754	0.775602579	0.798851073	-0.232818333E-3	-0.971530881E-6	0.996194720	0.108767960E-32	-0.871557444E-1	436.147034	-1.43917918	88.9300919	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-1.27101541	-2.56256700	-3.99990368	-3.76303864	-0.671345517E-1	-0.636908153E-4	-0.124335728E-15	0.00000000	0.794275627E-1	-0.105007049E-1	-0.719518811E-1	-0.190539852	-0.147579744	-0.794613287E-1
    9.0000	7.54634571	8.58844376	9.08260727	6.14873314	-1.52061880	0.445710450	0.729242265	0.887162089	-0.249264907E-3	-0.104016101E-5	0.996194720	0.108767960E-32	-0.871557444E-1	436.359009	-2.40699244	91.3530197	-1.77775824	-2.68194008	-3.44303083	-3.23700428	-0.114386089	-0.133382622E-3	-0.904388658E-16	0.00000000	0.558959395E-1	-0.665056007E-2	-0.741135627E-1	-0.179992050	-0.135842353	-0.731347203E-1	-1.76176262	-2.71964598	-3.92688513	-3.54350400	-0.112632252	-0.211309030E-3	-0.104532581E-15	0.00000000	0.626153275E-1	0.115637695E-1	-0.875269175E-1	-0.150995165	-0.112843588	-0.607465170E-1
   12.0000	7.38558674	8.45842838	8.66631508	2.31625247	-4.84763479	0.453719527	0.771168172	0.894841790	-0.261023379E-3	-0.108922802E-5	0.996194720	0.108767960E-32	-0.871557444E-1	436.416534	-2.02797937	92.0103760	-2.02760386	-2.73044109	-3.42194605	-3.11722708	-0.143188715	-0.309970288E-3	-0.804289746E-16	0.00000000	0.482645854E-1	0.262600789E-2	-0.814969093E-1	-0.147065297	-0.107794493	-0.580169261E-1	-1.75930500	-2.71938181	-3.92724562	-3.54537010	-0.112225026	-0.207422010E-3	-0.104488059E-15	0.00000000	0.626045242E-1	0.118991435E-1	-0.875946805E-1	-0.150281593	-0.112236813	-0.604199097E-1
   15.0000	7.27831078	8.44294167	8.52354908	0.259983510	-3.85831928	0.456069112	0.772603929	0.945813835	-0.260428176E-3	-0.108674442E-5	0.996066689	0.670905793E-4	-0.886068717E-1	436.503845	-2.74842525	91.9702988	-2.00943375	-2.72772026	-3.46698141	-3.15634298	-0.142253697	-0.312503747E-3	-0.714815869E-16	0.00000000	0.506152250E-1	0.332467374E-2	-0.871306807E-1	-0.158035353	-0.116781190	-0.628557429E-1	-1.68186319	-2.68380213	-3.94754434	-3.82797527	-0.119244985	-0.203480726E-3	-0.891311859E-16	0.00000000	0.614147633E-1	0.157958865E-1	-0.103037626	-0.193738714	-0.147527605	-0.794232786E-1
   18.0000	7.32238197	8.26499748	8.38421059	1.43261087	-4.80790186	0.425205201	0.806571603	0.970309198	-0.265886600E-3	-0.110952192E-5	0.995985210	0.772355124E-4	-0.895179510E-1	436.577789	-3.34783626	92.1545486	-1.97198081	-2.73945642	-3.66015792	-3.29006982	-0.141595185	-0.299718085E-3	-0.274009434E-16	0.00000000	0.586537197E-1	0.919694826E-2	-0.113866113	-0.194511265	-0.146650746	-0.789405033E-1	-1.76517761	-2.77462292	-4.04405975	-4.02519321	-0.182142854	-0.285790884E-3	-0.805119639E-16	0.00000000	0.632671043E-1	0.164632462E-1	-0.100643508	-0.228494912	-0.172105610	-0.926512554E-1
   21.0000	7.33411837	8.11528683	8.07253170	4.48193884	-3.80614161	0.444939017	0.777660787	0.965795517	-0.275306578E-3	-0.114883062E-5	0.995918572	0.981069243E-4	-0.902560353E-1	436.738617	-4.54159451	93.4015656	-1.85899878	-2.66366649	-3.69548440	-3.48654795	-0.198683068	-0.438081712E-3	-0.603980814E-16	0.00000000	0.601157919E-1	0.152488640E-1	-0.107356749	-0.210788026	-0.156971365	-0.844860002E-1	-1.74895811	-2.70467257	-3.91317081	-4.13304186	-0.234793097	-0.430854940E-3	-0.859708398E-16	0.00000000	0.599682145E-1	0.197521877E-1	-0.948577225E-1	-0.252184302	-0.189428031	-0.101968117
   24.0000	7.28749943	8.13401413	7.96611977	1.96936214	-4.70333529	0.404595792	0.814039946	0.911109746	-0.257691165E-3	-0.107532310E-5	0.995881855	0.129266846E-3	-0.906603187E-1	436.818481	-6.10978270	93.9853668	-1.67088985	-2.47909927	-3.56903648	-3.76560569	-0.277984172	-0.616848934E-3	-0.498311964E-16	0.00000000	0.564785004E-1	0.237999130E-1	-0.994178280E-1	-0.257932156	-0.193471640	-0.104126737	-1.67974007	-2.60836720	-3.85449600	-4.21034098	-0.292721480	-0.560611254E-3	-0.948141881E-16	0.00000000	0.596511252E-1	0.250049308E-1	-0.910521895E-1	-0.272471219	-0.204106137	-0.109862186
