
Predictions were generated on 11-Jan-2021 at 20:48:56 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.4.0-137-gb5d9a13c
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST Certification Test #05: AWT-27CR2 with many DOFs with startup and shutdown and FF turbulence.

Time	Wind1VelX	Wind1VelY	Wind1VelZ	TipDxb1	TipDyb1	TipRDxb1	TipRDyb1	Spn3ALxb1	Spn3ALyb1	RotSpeed	LSSGagV	HSShftV	RootFxb2	RootFyb2	Spn2MLxb1	Spn2MLyb1	LSShftTq	HSShftTq	LSShftPwr	HSShftPwr	YawBrFxn	YawBrFyn	YawBrFzn	GenTq	GenPwr
(s)	(m/s)	(m/s)	(m/s)	(m)	(m)	(deg)	(deg)	(m/s^2)	(m/s^2)	(rpm)	(rpm)	(rpm)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kW)	(kW)	(kN)	(kN)	(kN)	(kN-m)	(kW)
    5.0000	 1.200E+01	 0.000E+00	 0.000E+00	 5.944E-02	-7.729E-03	 5.367E-02	 5.176E-01	 2.020E-02	 5.991E-03	 1.793E-01	 1.792E-01	 4.033E+00	 2.888E+00	 1.312E-01	-4.443E-01	 5.787E+00	 3.546E-02	 1.576E-03	 6.656E-04	 6.656E-04	 1.660E+00	 6.620E-02	-7.178E+01	 0.000E+00	 0.000E+00
    5.0400	 1.200E+01	 0.000E+00	 0.000E+00	 5.972E-02	-7.769E-03	 5.398E-02	 5.206E-01	 1.780E-02	 7.003E-03	 1.797E-01	 1.797E-01	 4.044E+00	 2.898E+00	 1.339E-01	-4.405E-01	 5.812E+00	 3.768E-02	 1.675E-03	 7.091E-04	 7.091E-04	 1.589E+00	 6.772E-02	-7.179E+01	 0.000E+00	 0.000E+00
    5.0800	 1.200E+01	 0.000E+00	 0.000E+00	 5.993E-02	-7.801E-03	 5.422E-02	 5.227E-01	 1.566E-02	 7.716E-03	 1.802E-01	 1.802E-01	 4.054E+00	 2.908E+00	 1.368E-01	-4.365E-01	 5.831E+00	 3.753E-02	 1.668E-03	 7.081E-04	 7.081E-04	 1.559E+00	 6.914E-02	-7.179E+01	 0.000E+00	 0.000E+00
    5.1200	 1.200E+01	 0.000E+00	 0.000E+00	 6.004E-02	-7.822E-03	 5.437E-02	 5.237E-01	 1.544E-02	 8.154E-03	 1.806E-01	 1.807E-01	 4.065E+00	 2.918E+00	 1.397E-01	-4.321E-01	 5.840E+00	 3.430E-02	 1.524E-03	 6.488E-04	 6.488E-04	 1.569E+00	 7.044E-02	-7.180E+01	 0.000E+00	 0.000E+00
    5.1600	 1.200E+01	 0.000E+00	 0.000E+00	 6.005E-02	-7.832E-03	 5.443E-02	 5.235E-01	 1.621E-02	 8.320E-03	 1.810E-01	 1.811E-01	 4.074E+00	 2.928E+00	 1.429E-01	-4.273E-01	 5.842E+00	 2.848E-02	 1.266E-03	 5.400E-04	 5.401E-04	 1.618E+00	 7.160E-02	-7.180E+01	 0.000E+00	 0.000E+00
    5.2000	 1.200E+01	 0.000E+00	 0.000E+00	 6.004E-02	-7.840E-03	 5.447E-02	 5.228E-01	 1.504E-02	 8.206E-03	 1.813E-01	 1.814E-01	 4.081E+00	 2.938E+00	 1.460E-01	-4.226E-01	 5.841E+00	 2.154E-02	 9.572E-04	 4.090E-04	 4.091E-04	 1.703E+00	 7.264E-02	-7.180E+01	 0.000E+00	 0.000E+00
    5.2400	 1.200E+01	 0.000E+00	 0.000E+00	 6.008E-02	-7.853E-03	 5.455E-02	 5.227E-01	 8.405E-03	 7.813E-03	 1.816E-01	 1.816E-01	 4.086E+00	 2.951E+00	 1.491E-01	-4.183E-01	 5.846E+00	 1.528E-02	 6.789E-04	 2.905E-04	 2.905E-04	 1.817E+00	 7.361E-02	-7.180E+01	 0.000E+00	 0.000E+00
    5.2800	 1.200E+01	 0.000E+00	 0.000E+00	 6.023E-02	-7.880E-03	 5.474E-02	 5.239E-01	-6.309E-03	 7.165E-03	 1.818E-01	 1.818E-01	 4.090E+00	 2.967E+00	 1.521E-01	-4.150E-01	 5.863E+00	 1.121E-02	 4.982E-04	 2.134E-04	 2.134E-04	 1.954E+00	 7.455E-02	-7.181E+01	 0.000E+00	 0.000E+00
    5.3200	 1.200E+01	 0.000E+00	 0.000E+00	 6.054E-02	-7.925E-03	 5.506E-02	 5.266E-01	-2.953E-02	 6.326E-03	 1.819E-01	 1.819E-01	 4.093E+00	 2.986E+00	 1.549E-01	-4.126E-01	 5.894E+00	 1.001E-02	 4.447E-04	 1.906E-04	 1.906E-04	 2.106E+00	 7.550E-02	-7.182E+01	 0.000E+00	 0.000E+00
