
Predictions were generated on 05-Feb-2026 at 19:16:44 using OpenFAST, compiled on Feb  5 2026 at 18:16:28 as a 64-bit application using double precision at commit HEAD-HASH-NOTFOUND
 linked with  NWTC Subroutine Library; ElastoDyn

Description from the FAST input file: NREL Wind Turbine Modeling Workshop Simulation

Time	ConvIter	ConvError	NumUJac	OoPDefl1	IPDefl1	BldPitch1	Azimuth	RotSpeed	GenSpeed	TTDspFA	TTDspSS	RootMyc1	RotThrust	RotTorq	RotPwr	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
(s)	(-)	(-)	(-)	(m)	(m)	(deg)	(deg)	(rpm)	(rpm)	(m)	(m)	(kN-m)	(kN)	(kN-m)	(kW)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)
    0.0000	0.00000000	0.00000000	1.00000000	0.404493225E-15	0.412895353E-30	0.00000000	0.00000000	0.00000000	0.00000000	3.00000000	-0.00000000	1426.06262	1353.46765	-0.126390868E-12	-0.00000000	5616.09131	0.332901508	-6975.89404	-5.92829466	501050.562	-57.6343422
    0.0500	3.00000000	0.203967573E-6	0.00000000	0.206264593E-1	0.238845055E-2	0.00000000	359.998474	-0.982296932E-2	0.00000000	2.98480582	0.906940568E-5	1862.13281	1356.43604	-29.5655518	0.304128695E-1	5688.89453	0.711175919	-6966.40918	-10.2054949	501056.812	-56.8860588
    0.1000	3.00000000	0.553999769E-6	0.00000000	0.100787506	0.845760014E-2	0.00000000	359.994751	-0.138072353E-1	0.00000000	2.93682003	0.399928977E-4	3032.17920	1369.93726	-88.3916931	0.127804697	5832.44678	0.408023000	-6946.59912	8.75472355	499193.438	-59.3683853
    0.1500	3.00000000	0.522014830E-6	0.00000000	0.279325336	0.131659191E-1	0.00000000	359.990845	-0.120238755E-1	0.00000000	2.85624003	0.972865164E-4	4525.36865	1397.34399	-146.677063	0.184686571	5857.25293	-1.88702750	-6934.49707	79.2491379	490286.438	-72.4028625
    0.2000	3.00000000	0.401965053E-6	0.00000000	0.598356426	0.829456374E-2	0.00000000	359.987396	-0.114731537E-1	0.00000000	2.74496603	0.185909477E-3	5851.86328	1430.23950	-198.156082	0.238077760	5610.22461	-5.38789892	-6935.92480	178.178543	470340.094	-100.118179
    0.2500	3.00000000	0.569035251E-6	0.00000000	1.08195937	-0.137565304E-1	0.00000000	359.983337	-0.163404681E-1	0.00000000	2.60495114	0.315520389E-3	6697.17480	1444.32776	-262.935425	0.449927151	5100.77539	-7.80396271	-6942.00635	247.027924	439852.281	-140.143051
    0.3000	3.00000000	0.801226577E-6	0.00000000	1.71879244	-0.552457869E-1	0.00000000	359.977386	-0.229168236E-1	0.00000000	2.43794394	0.504077587E-3	7023.75049	1408.85706	-357.144867	0.857092023	4496.81348	-8.12831593	-6937.33398	259.753357	403674.656	-184.668411
    0.3500	3.00000000	0.716281363E-6	0.00000000	2.45714378	-0.111096807	0.00000000	359.970245	-0.235974565E-1	0.00000000	2.24558330	0.774741231E-3	7017.50830	1305.75037	-466.155609	1.15192640	4000.52002	-8.10817242	-6908.82080	256.795502	367586.719	-223.199692
    0.4000	3.00000000	0.212545820E-5	0.00000000	3.21462440	-0.171736225	0.00000000	359.964264	-0.149611318E-1	0.00000000	2.02968621	0.114471989E-2	6936.75000	1145.58936	-550.805603	0.862961471	3698.45020	-10.2712879	-6858.12842	294.629700	334183.656	-243.891068
    0.4500	3.00000000	0.322033952E-5	0.00000000	3.89835572	-0.228566960	0.00000000	359.961853	-0.957202865E-3	0.00000000	1.79249859	0.161332905E-2	6966.88916	967.102417	-578.360718	0.579737537E-1	3499.03418	-14.4986897	-6803.70459	361.843475	301181.094	-233.630890
    0.5000	3.00000000	0.297488305E-5	0.00000000	4.42722988	-0.277481288	0.00000000	359.963562	0.117340675E-1	0.00000000	1.53675818	0.215883390E-2	7162.97803	817.434082	-544.369019	-0.668914497	3204.62012	-17.1357250	-6762.38086	360.731415	263419.062	-180.603012
    0.5500	3.00000000	0.318056618E-5	0.00000000	4.74853516	-0.317959577	0.00000000	359.968445	0.204652753E-1	0.00000000	1.26557136	0.274625397E-2	7480.03662	724.980469	-464.528473	-0.995539606	2663.06714	-14.0755911	-6734.25488	188.007111	217044.141	-80.5148010
    0.6000	3.00000000	0.414728811E-5	0.00000000	4.84494352	-0.349678278	0.00000000	359.975708	0.281260349E-1	0.00000000	0.982235432	0.333834183E-2	7827.52490	682.359009	-349.602753	-1.02970302	1884.14172	-4.86763477	-6709.07568	-161.245621	162711.766	58.3308716
    0.6500	3.00000000	0.610298730E-5	0.00000000	4.73132610	-0.370593458	0.00000000	359.985626	0.384017415E-1	0.00000000	0.690140903	0.389943458E-2	8090.96924	650.278259	-192.864090	-0.775587678	1034.31897	6.45824575	-6678.59961	-574.803406	105432.133	216.040131
    0.7000	3.00000000	0.828741668E-5	0.00000000	4.44335699	-0.378310233	0.00000000	359.998962	0.506382175E-1	0.00000000	0.392767698	0.438948814E-2	8116.97070	580.103088	17.4031429	0.922857597E-1	316.226166	14.9058685	-6642.28223	-914.906433	51231.2266	367.275482
    0.7500	3.00000000	0.852029916E-5	0.00000000	4.02162695	-0.372720540	0.00000000	0.156958830E-1	0.600646548E-1	0.00000000	0.936777070E-1	0.475615682E-2	7705.66455	441.228302	276.776733	1.74091351	-175.194519	18.9522476	-6609.20020	-1132.60974	3164.67847	488.000793
    0.8000	3.00000000	0.558921420E-5	0.00000000	3.49608779	-0.356454134	0.00000000	0.342725888E-1	0.627572760E-1	0.00000000	-0.203605935	0.493579917E-2	6658.32080	236.151550	559.838562	3.67921758	-512.588013	21.5280228	-6591.42871	-1293.39636	-40359.4688	560.225769
    0.8500	3.00000000	0.224230689E-5	0.00000000	2.87596536	-0.332058698	0.00000000	0.526977479E-1	0.595259704E-1	0.00000000	-0.495838791	0.486636208E-2	4880.51318	-4.82285738	836.749878	5.21591854	-870.505981	26.6738548	-6590.36768	-1492.22266	-83794.7266	574.891663
    0.9000	3.00000000	0.196214501E-5	0.00000000	2.14926243	-0.298422426	0.00000000	0.697955713E-1	0.545102544E-1	0.00000000	-0.780289173	0.450388715E-2	2480.56128	-243.065109	1092.40002	6.23574734	-1387.27844	35.3064117	-6596.31396	-1745.41663	-130661.633	532.619873
    0.9500	3.00000000	0.199025931E-5	0.00000000	1.29293787	-0.250031471	0.00000000	0.855112225E-1	0.503804833E-1	0.00000000	-1.05479479	0.383102498E-2	-216.553024	-451.261932	1327.69617	7.00470161	-2059.71167	44.2174873	-6603.91016	-1964.77307	-180639.031	441.572540
    1.0000	3.00000000	0.179570839E-5	0.00000000	0.290458739	-0.180210769	0.00000000	0.999604538E-1	0.455734804E-1	0.00000000	-1.31756151	0.285328226E-2	-2778.09790	-621.773438	1543.37415	7.36566591	-2748.31836	49.0346336	-6620.07812	-2033.25000	-229682.219	313.736847
    1.0500	3.00000000	0.211294423E-5	0.00000000	-0.850104630	-0.860672966E-1	0.00000000	0.112370193	0.362935029E-1	0.00000000	-1.56679499	0.158898451E-2	-4854.54102	-761.449036	1725.25659	6.55709028	-3286.01392	48.0519981	-6657.20312	-1903.87341	-272981.469	161.818680
    1.1000	3.00000000	0.344239879E-5	0.00000000	-2.08541155	0.284092817E-1	0.00000000	0.121037520	0.206359588E-1	0.00000000	-1.80038607	0.627182671E-4	-6346.19043	-880.211426	1846.31653	3.98987627	-3604.96094	43.3240623	-6724.00537	-1628.97534	-308427.875	-2.80943823
