
Predictions were generated on 05-Aug-2022 at 10:59:13 using OpenFAST, compiled as a 64-bit application using double precision at commit v3.2.1-122-gc1599127-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn

Description from the FAST input file: Fixed MHK turbine, based on the RM1 tidal current turbine

Time	TwN1Fbx	TwN3Fby	TwN4Fbz	TwN6Mbx	TwN5Mby	TwN2Mbz	B2N4Fbn	B1N7Fbt	B2N8Fbs	B1N2Mbn	B2N3Mbt	B1N6Mbs	B1FldFz	B2FldMx	HbFbx	HbFby	HbFbz	HbMbx	HbMby	HbMbz	NcFbx	NcFby	NcFbz	NcMbx	NcMby	NcMbz	RtFldFxh	RtFldFyh	RtFldFzg	RtFldMxh	RtFldMyg	RtFldMzh	B1N3SigCr	B2N5SigCr	B1N2SgCav	B2N6SgCav
(s)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(-)	(-)	(-)	(-)
    0.0000	 0.000E+00	 0.000E+00	-1.241E+04	 0.000E+00	 0.000E+00	 0.000E+00	 6.141E-13	-2.290E-13	-1.115E+04	-4.526E-15	 1.008E-14	 0.000E+00	-7.016E+04	 9.529E+04	 4.740E-27	-5.374E-11	 6.231E+04	-2.758E-11	-1.608E+04	-2.954E-12	 0.000E+00	 0.000E+00	-1.391E+06	 0.000E+00	-1.668E+05	 0.000E+00	 3.522E+05	-1.407E+04	 6.089E+04	 3.147E+05	 3.064E+05	 1.173E-10	 2.803E+01	 1.433E+01	 4.246E+00	 1.341E+00
    0.0300	-2.684E+01	 3.114E-01	-1.241E+04	 7.428E-03	-1.143E-01	-1.156E-09	 2.347E+01	 4.396E+01	-1.115E+04	 8.985E-01	-7.709E-01	 2.471E-05	-7.034E+04	 2.591E+04	-3.586E+01	 2.671E+03	 6.227E+04	-1.357E-01	-1.607E+04	 5.936E+02	 6.208E+02	-1.403E+01	-1.391E+06	 7.213E-01	-1.668E+05	 4.445E+00	 1.080E+05	 1.038E+03	 6.075E+04	 6.526E+04	 3.311E+04	 1.150E+01	 2.778E+01	 1.390E+01	 3.559E+00	 9.779E-01
    0.0600	-8.561E+01	 8.771E-01	-1.241E+04	 2.035E-02	-3.279E-01	-1.527E-08	 4.571E+01	 9.193E+01	-1.114E+04	 1.798E+00	-1.488E+00	 9.059E-05	-7.065E+04	 3.212E+04	-1.226E+02	 5.318E+03	 6.214E+04	 3.466E-03	-1.604E+04	 1.182E+03	 1.952E+03	-3.694E+01	-1.391E+06	 1.976E+00	-1.668E+05	 1.200E+01	 1.258E+05	 4.964E+03	 6.078E+04	 6.305E+04	-3.566E+04	 9.010E+01	 2.783E+01	 1.338E+01	 3.121E+00	 1.047E+00
    0.0900	-1.428E+02	 1.436E+00	-1.241E+04	 3.260E-02	-4.510E-01	-4.085E-08	 6.520E+01	 1.372E+02	-1.112E+04	 2.717E+00	-2.173E+00	 1.805E-04	-7.099E+04	 3.043E+04	-2.148E+02	 8.058E+03	 6.192E+04	 7.798E-01	-1.598E+04	 1.791E+03	 3.183E+03	-5.722E+01	-1.391E+06	 3.166E+00	-1.668E+05	 1.899E+01	 1.279E+05	 6.406E+03	 6.064E+04	 5.289E+04	-4.072E+04	 6.918E+01	 2.672E+01	 1.300E+01	 2.712E+00	 1.054E+00
    0.1200	-1.758E+02	 1.947E+00	-1.241E+04	 4.423E-02	-3.564E-01	 8.323E-10	 8.327E+01	 1.850E+02	-1.110E+04	 3.640E+00	-2.844E+00	 2.893E-04	-7.137E+04	 2.777E+04	-2.908E+02	 1.078E+04	 6.162E+04	 1.824E+00	-1.590E+04	 2.396E+03	 3.767E+03	-7.769E+01	-1.391E+06	 4.295E+00	-1.668E+05	 2.577E+01	 1.258E+05	 7.084E+03	 6.031E+04	 4.328E+04	-2.613E+04	 3.923E+01	 2.716E+01	 1.294E+01	 2.550E+00	 1.047E+00
    0.1500	-1.776E+02	 2.315E+00	-1.241E+04	 5.270E-02	-7.670E-03	 1.509E-07	 1.001E+02	 2.328E+02	-1.108E+04	 4.574E+00	-3.515E+00	 4.151E-04	-7.178E+04	 2.554E+04	-3.419E+02	 1.354E+04	 6.121E+04	 2.735E+00	-1.580E+04	 3.008E+03	 3.537E+03	-9.291E+01	-1.391E+06	 5.118E+00	-1.667E+05	 3.075E+01	 1.183E+05	 8.158E+03	 5.991E+04	 3.267E+04	-5.566E+03	 1.472E+02	 2.600E+01	 1.283E+01	 2.344E+00	 1.034E+00
    0.1800	-1.553E+02	 3.073E+00	-1.241E+04	 7.086E-02	 5.522E-01	 5.278E-07	 1.161E+02	 2.805E+02	-1.105E+04	 5.507E+00	-4.180E+00	 5.493E-04	-7.222E+04	 2.550E+04	-3.769E+02	 1.629E+04	 6.071E+04	 3.383E+00	-1.567E+04	 3.619E+03	 2.666E+03	-1.274E+02	-1.391E+06	 6.881E+00	-1.667E+05	 4.163E+01	 1.122E+05	 9.929E+03	 5.957E+04	 2.585E+04	 8.768E+03	 2.913E+02	 2.670E+01	 1.278E+01	 2.232E+00	 1.022E+00
    0.2100	-1.231E+02	 4.023E+00	-1.241E+04	 9.221E-02	 1.238E+00	 1.102E-06	 1.312E+02	 3.280E+02	-1.102E+04	 6.432E+00	-4.826E+00	 6.849E-04	-7.261E+04	 2.610E+04	-4.113E+02	 1.901E+04	 6.012E+04	 4.040E+00	-1.552E+04	 4.223E+03	 1.503E+03	-1.643E+02	-1.391E+06	 8.954E+00	-1.666E+05	 5.398E+01	 1.026E+05	 1.227E+04	 5.940E+04	 1.806E+04	 9.168E+03	 3.543E+02	 2.625E+01	 1.262E+01	 2.057E+00	 1.016E+00
    0.2400	-9.558E+01	 4.916E+00	-1.241E+04	 1.106E-01	 1.964E+00	 1.812E-06	 1.451E+02	 3.739E+02	-1.098E+04	 7.350E+00	-5.443E+00	 8.071E-04	-7.297E+04	 2.856E+04	-4.616E+02	 2.172E+04	 5.944E+04	 4.361E+00	-1.534E+04	 4.827E+03	 4.012E+02	-1.916E+02	-1.391E+06	 1.074E+01	-1.666E+05	 6.408E+01	 9.554E+04	 1.501E+04	 5.942E+04	 1.348E+04	-8.787E+03	 3.781E+02	 2.710E+01	 1.261E+01	 1.971E+00	 1.017E+00
