
Predictions were generated on 11-Jan-2021 at 21:07:22 using AA AeroAcoustics (v1.00.00, 18-Aug-2016)

Number of observers      :    2
Description from AA input file, line2: IEA task 37 RWT turbine -- https://github.com/IEAWindTask37/IEA-3.4-130-RWT

     Time           	Obs1                	Obs2                
      (s)           	OASPL               	OASPL               
         0.0000	  5.972896E+001	  4.247486E+001
         0.1000	  7.955822E+001	  6.049620E+001
         0.2000	  7.974413E+001	  6.104382E+001
         0.3000	  7.970541E+001	  6.160380E+001
         0.4000	  7.958968E+001	  6.220491E+001
         0.5000	  7.950036E+001	  6.248323E+001
         0.6000	  7.963144E+001	  6.303801E+001
         0.7000	  7.982792E+001	  6.443626E+001
         0.8000	  8.007748E+001	  6.264122E+001
         0.9000	  8.011285E+001	  6.203821E+001
         1.0000	  7.992532E+001	  6.181311E+001
         1.1000	  7.984783E+001	  6.199577E+001
         1.2000	  7.983567E+001	  6.224560E+001
         1.3000	  7.969459E+001	  6.245284E+001
         1.4000	  7.961085E+001	  6.298141E+001
         1.5000	  7.968774E+001	  6.358294E+001
         1.6000	  7.970016E+001	  6.380267E+001
         1.7000	  7.961991E+001	  6.385999E+001
         1.8000	  7.961484E+001	  6.397644E+001
         1.9000	  7.969490E+001	  6.397826E+001
         2.0000	  7.978901E+001	  6.389139E+001
         2.1000	  7.984960E+001	  6.376154E+001
         2.2000	  7.982313E+001	  6.341609E+001
         2.3000	  7.973211E+001	  6.291567E+001
         2.4000	  7.969373E+001	  6.264838E+001
         2.5000	  7.979555E+001	  6.283704E+001
         2.6000	  7.993486E+001	  6.342996E+001
         2.7000	  7.992258E+001	  6.412196E+001
         2.8000	  7.976699E+001	  6.182500E+001
         2.9000	  7.963894E+001	  6.119098E+001
         3.0000	  7.964697E+001	  6.141765E+001
         3.1000	  7.978160E+001	  6.209376E+001
         3.2000	  7.988708E+001	  6.268828E+001
         3.3000	  7.979761E+001	  6.293649E+001
         3.4000	  7.959179E+001	  6.305669E+001
         3.5000	  7.949592E+001	  6.335741E+001
         3.6000	  7.961295E+001	  6.383132E+001
         3.7000	  7.982599E+001	  6.421446E+001
         3.8000	  7.989343E+001	  6.424637E+001
         3.9000	  7.974682E+001	  6.394243E+001
         4.0000	  7.958086E+001	  6.357890E+001
         4.1000	  7.959263E+001	  6.338581E+001
         4.2000	  7.979147E+001	  6.335444E+001
         4.3000	  7.997738E+001	  6.326739E+001
         4.4000	  7.994313E+001	  6.298694E+001
         4.5000	  7.975908E+001	  6.277478E+001
         4.6000	  7.965231E+001	  6.309782E+001
         4.7000	  7.971693E+001	  6.389582E+001
         4.8000	  7.986531E+001	  6.180498E+001
         4.9000	  7.991166E+001	  6.146946E+001
         5.0000	  7.979606E+001	  6.166870E+001
         5.1000	  7.966390E+001	  6.208252E+001
         5.2000	  7.962915E+001	  6.248482E+001
         5.3000	  7.968077E+001	  6.284796E+001
         5.4000	  7.973897E+001	  6.322428E+001
         5.5000	  7.972576E+001	  6.358284E+001
         5.6000	  7.968186E+001	  6.388671E+001
         5.7000	  7.967513E+001	  6.407166E+001
         5.8000	  7.969057E+001	  6.407123E+001
         5.9000	  7.971426E+001	  6.391287E+001
         6.0000	  7.973927E+001	  6.369109E+001
         6.1000	  7.976197E+001	  6.351208E+001
         6.2000	  7.979773E+001	  6.336769E+001
         6.3000	  7.981823E+001	  6.314243E+001
         6.4000	  7.980469E+001	  6.284756E+001
         6.5000	  7.979180E+001	  6.274491E+001
         6.6000	  7.979533E+001	  6.323617E+001
