
Predictions were generated on 02-Dec-2019 at 13:37:09 using OpenFAST, compiled as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST Certification Test #10: UAE Phase VI (upwind) with no DOFs in a ramped wind.

Time      	Wind1VelX 	Wind1VelY 	Wind1VelZ 	RootFxc1  	RootFyc1  	RootFzc1  	RootFxc2  	RootFyc2  	RootFzc2  	RootMOoP1 	RootMIP1  	RootMzc1  	RotTorq   	RotThrust 	RotPwr    	LSSGagMya 	LSSGagMza 	YawBrMxp  	YawBrMyp  	RtAeroCp  	RtAeroCq  	RtAeroCt  	GenPwr    
(s)       	(m/s)     	(m/s)     	(m/s)     	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN)      	(kW)      	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(-)       	(-)       	(-)       	(kW)      
    5.0000	 5.000E+00	 0.000E+00	 0.000E+00	 3.519E-01	-1.462E-02	 6.857E+00	 3.519E-01	-7.759E-02	 8.058E+00	 1.073E+00	 6.614E-02	-1.657E-02	 2.799E-01	 7.038E-01	 2.108E+00	-1.703E+00	-8.924E-02	 2.799E-01	-7.476E+00	 3.406E-01	 4.498E-02	 5.688E-01	 3.407E+00
    5.1000	 5.100E+00	 0.000E+00	 0.000E+00	 3.661E-01	-4.375E-01	 6.998E+00	 3.661E-01	 3.382E-01	 7.918E+00	 1.113E+00	 7.929E-01	-1.676E-02	 3.005E-01	 7.321E-01	 2.263E+00	-1.304E+00	 1.099E+00	 3.005E-01	-7.457E+00	 3.446E-01	 4.642E-02	 5.687E-01	 3.407E+00
    5.2000	 5.200E+00	 0.000E+00	 0.000E+00	 3.804E-01	-6.509E-01	 7.387E+00	 3.804E-01	 5.441E-01	 7.528E+00	 1.153E+00	 1.161E+00	-1.695E-02	 3.220E-01	 7.607E-01	 2.424E+00	-1.995E-01	 1.693E+00	 3.220E-01	-7.437E+00	 3.483E-01	 4.783E-02	 5.683E-01	 3.407E+00
    5.3000	 5.300E+00	 0.000E+00	 0.000E+00	 3.948E-01	-5.413E-01	 7.815E+00	 3.948E-01	 4.269E-01	 7.100E+00	 1.194E+00	 9.763E-01	-1.714E-02	 3.442E-01	 7.896E-01	 2.592E+00	 1.012E+00	 1.372E+00	 3.442E-01	-7.417E+00	 3.517E-01	 4.923E-02	 5.679E-01	 3.407E+00
    5.4000	 5.400E+00	 0.000E+00	 0.000E+00	 4.093E-01	-1.702E-01	 8.049E+00	 4.093E-01	 4.782E-02	 6.866E+00	 1.235E+00	 3.439E-01	-1.734E-02	 3.673E-01	 8.187E-01	 2.766E+00	 1.677E+00	 3.090E-01	 3.673E-01	-7.397E+00	 3.548E-01	 5.060E-02	 5.672E-01	 3.407E+00
    5.5000	 5.500E+00	 0.000E+00	 0.000E+00	 4.240E-01	 2.597E-01	 7.964E+00	 4.240E-01	-3.903E-01	 6.951E+00	 1.276E+00	-3.891E-01	-1.753E-02	 3.912E-01	 8.480E-01	 2.946E+00	 1.435E+00	-9.212E-01	 3.912E-01	-7.376E+00	 3.577E-01	 5.195E-02	 5.664E-01	 3.407E+00
    5.6000	 5.600E+00	 0.000E+00	 0.000E+00	 4.388E-01	 5.138E-01	 7.605E+00	 4.388E-01	-6.529E-01	 7.310E+00	 1.318E+00	-8.210E-01	-1.773E-02	 4.159E-01	 8.776E-01	 3.131E+00	 4.171E-01	-1.653E+00	 4.159E-01	-7.356E+00	 3.602E-01	 5.327E-02	 5.654E-01	 3.407E+00
    5.7000	 5.700E+00	 0.000E+00	 0.000E+00	 4.537E-01	 4.523E-01	 7.166E+00	 4.537E-01	-6.003E-01	 7.749E+00	 1.360E+00	-7.124E-01	-1.794E-02	 4.413E-01	 9.074E-01	 3.323E+00	-8.262E-01	-1.492E+00	 4.413E-01	-7.335E+00	 3.625E-01	 5.457E-02	 5.642E-01	 3.407E+00
    5.8000	 5.800E+00	 0.000E+00	 0.000E+00	 4.687E-01	 1.062E-01	 6.885E+00	 4.687E-01	-2.632E-01	 8.030E+00	 1.402E+00	-1.164E-01	-1.814E-02	 4.676E-01	 9.374E-01	 3.520E+00	-1.623E+00	-5.235E-01	 4.676E-01	-7.315E+00	 3.645E-01	 5.583E-02	 5.629E-01	 3.407E+00
    5.9000	 5.900E+00	 0.000E+00	 0.000E+00	 4.838E-01	-3.399E-01	 6.914E+00	 4.838E-01	 1.736E-01	 8.002E+00	 1.445E+00	 6.509E-01	-1.835E-02	 4.945E-01	 9.675E-01	 3.723E+00	-1.542E+00	 7.276E-01	 4.945E-01	-7.294E+00	 3.662E-01	 5.707E-02	 5.615E-01	 3.407E+00
    6.0000	 6.000E+00	 0.000E+00	 0.000E+00	 4.988E-01	-6.473E-01	 7.236E+00	 4.988E-01	 4.715E-01	 7.679E+00	 1.487E+00	 1.181E+00	-1.846E-02	 5.220E-01	 9.976E-01	 3.930E+00	-6.277E-01	 1.585E+00	 5.220E-01	-7.273E+00	 3.676E-01	 5.825E-02	 5.598E-01	 3.407E+00
    6.1000	 6.100E+00	 0.000E+00	 0.000E+00	 5.138E-01	-6.524E-01	 7.679E+00	 5.138E-01	 4.669E-01	 7.237E+00	 1.529E+00	 1.193E+00	-1.848E-02	 5.501E-01	 1.028E+00	 4.142E+00	 6.261E-01	 1.586E+00	 5.501E-01	-7.252E+00	 3.686E-01	 5.939E-02	 5.579E-01	 3.407E+00
    6.2000	 6.200E+00	 0.000E+00	 0.000E+00	 5.287E-01	-3.550E-01	 8.001E+00	 5.287E-01	 1.596E-01	 6.914E+00	 1.572E+00	 6.878E-01	-1.844E-02	 5.788E-01	 1.057E+00	 4.358E+00	 1.541E+00	 7.293E-01	 5.788E-01	-7.231E+00	 3.694E-01	 6.049E-02	 5.557E-01	 3.407E+00
    6.3000	 6.300E+00	 0.000E+00	 0.000E+00	 5.436E-01	 8.138E-02	 8.030E+00	 5.436E-01	-2.868E-01	 6.885E+00	 1.614E+00	-5.558E-02	-1.833E-02	 6.081E-01	 1.087E+00	 4.579E+00	 1.623E+00	-5.218E-01	 6.081E-01	-7.211E+00	 3.699E-01	 6.155E-02	 5.534E-01	 3.407E+00
    6.4000	 6.400E+00	 0.000E+00	 0.000E+00	 5.585E-01	 4.181E-01	 7.750E+00	 5.585E-01	-6.339E-01	 7.166E+00	 1.656E+00	-6.282E-01	-1.820E-02	 6.381E-01	 1.117E+00	 4.804E+00	 8.277E-01	-1.491E+00	 6.381E-01	-7.190E+00	 3.702E-01	 6.258E-02	 5.509E-01	 3.407E+00
    6.5000	 6.500E+00	 0.000E+00	 0.000E+00	 5.734E-01	 4.704E-01	 7.311E+00	 5.734E-01	-6.967E-01	 7.604E+00	 1.698E+00	-7.137E-01	-1.803E-02	 6.686E-01	 1.147E+00	 5.034E+00	-4.154E-01	-1.654E+00	 6.686E-01	-7.170E+00	 3.703E-01	 6.357E-02	 5.484E-01	 3.407E+00
    6.6000	 6.600E+00	 0.000E+00	 0.000E+00	 5.883E-01	 2.070E-01	 6.952E+00	 5.883E-01	-4.441E-01	 7.964E+00	 1.740E+00	-2.587E-01	-1.784E-02	 6.998E-01	 1.177E+00	 5.269E+00	-1.434E+00	-9.227E-01	 6.998E-01	-7.149E+00	 3.703E-01	 6.454E-02	 5.457E-01	 3.407E+00
    6.7000	 6.700E+00	 0.000E+00	 0.000E+00	 6.032E-01	-2.324E-01	 6.866E+00	 6.032E-01	-1.563E-02	 8.049E+00	 1.782E+00	 4.978E-01	-1.764E-02	 7.316E-01	 1.206E+00	 5.509E+00	-1.677E+00	 3.072E-01	 7.316E-01	-7.128E+00	 3.700E-01	 6.547E-02	 5.429E-01	 3.407E+00
    6.8000	 6.800E+00	 0.000E+00	 0.000E+00	 6.170E-01	-6.131E-01	 7.100E+00	 6.170E-01	 3.545E-01	 7.815E+00	 1.822E+00	 1.154E+00	-1.740E-02	 7.625E-01	 1.234E+00	 5.741E+00	-1.014E+00	 1.371E+00	 7.625E-01	-7.109E+00	 3.689E-01	 6.625E-02	 5.392E-01	 3.407E+00
    6.9000	 6.900E+00	 0.000E+00	 0.000E+00	 6.301E-01	-7.320E-01	 7.527E+00	 6.301E-01	 4.631E-01	 7.388E+00	 1.860E+00	 1.362E+00	-1.717E-02	 7.929E-01	 1.260E+00	 5.970E+00	 1.978E-01	 1.694E+00	 7.929E-01	-7.091E+00	 3.671E-01	 6.690E-02	 5.347E-01	 3.407E+00
    7.0000	 7.000E+00	 0.000E+00	 0.000E+00	 6.424E-01	-5.278E-01	 7.917E+00	 6.424E-01	 2.489E-01	 6.998E+00	 1.896E+00	 1.016E+00	-1.691E-02	 8.228E-01	 1.285E+00	 6.195E+00	 1.302E+00	 1.101E+00	 8.228E-01	-7.074E+00	 3.649E-01	 6.745E-02	 5.297E-01	 3.407E+00
    7.1000	 7.100E+00	 0.000E+00	 0.000E+00	 6.541E-01	-1.136E-01	 8.058E+00	 6.541E-01	-1.753E-01	 6.857E+00	 1.930E+00	 3.109E-01	-1.665E-02	 8.523E-01	 1.308E+00	 6.417E+00	 1.703E+00	-8.746E-02	 8.523E-01	-7.058E+00	 3.622E-01	 6.792E-02	 5.242E-01	 3.407E+00
    7.2000	 7.200E+00	 0.000E+00	 0.000E+00	 6.652E-01	 2.840E-01	 7.875E+00	 6.652E-01	-5.828E-01	 7.040E+00	 1.962E+00	-3.658E-01	-1.637E-02	 8.815E-01	 1.330E+00	 6.637E+00	 1.183E+00	-1.228E+00	 8.815E-01	-7.042E+00	 3.593E-01	 6.831E-02	 5.185E-01	 3.407E+00
    7.3000	 7.300E+00	 0.000E+00	 0.000E+00	 6.762E-01	 4.472E-01	 7.466E+00	 6.762E-01	-7.560E-01	 7.449E+00	 1.994E+00	-6.413E-01	-1.608E-02	 9.110E-01	 1.352E+00	 6.859E+00	 2.321E-02	-1.705E+00	 9.110E-01	-7.027E+00	 3.562E-01	 6.867E-02	 5.127E-01	 3.407E+00
    7.4000	 7.400E+00	 0.000E+00	 0.000E+00	 6.864E-01	 2.852E-01	 7.052E+00	 6.864E-01	-6.039E-01	 7.863E+00	 2.024E+00	-3.601E-01	-1.578E-02	 9.398E-01	 1.373E+00	 7.076E+00	-1.149E+00	-1.260E+00	 9.398E-01	-7.013E+00	 3.528E-01	 6.894E-02	 5.065E-01	 3.407E+00
    7.5000	 7.500E+00	 0.000E+00	 0.000E+00	 6.966E-01	-1.171E-01	 6.858E+00	 6.966E-01	-2.115E-01	 8.057E+00	 2.054E+00	 3.328E-01	-1.548E-02	 9.692E-01	 1.393E+00	 7.297E+00	-1.700E+00	-1.338E-01	 9.692E-01	-6.999E+00	 3.494E-01	 6.921E-02	 5.004E-01	 3.407E+00
    7.6000	 7.600E+00	 0.000E+00	 0.000E+00	 7.059E-01	-5.449E-01	 6.988E+00	 7.059E-01	 2.064E-01	 7.928E+00	 2.082E+00	 1.069E+00	-1.518E-02	 9.978E-01	 1.412E+00	 7.513E+00	-1.332E+00	 1.065E+00	 9.978E-01	-6.986E+00	 3.457E-01	 6.939E-02	 4.938E-01	 3.407E+00
    7.7000	 7.700E+00	 0.000E+00	 0.000E+00	 7.150E-01	-7.696E-01	 7.372E+00	 7.150E-01	 4.213E-01	 7.544E+00	 2.109E+00	 1.458E+00	-1.488E-02	 1.027E+00	 1.430E+00	 7.731E+00	-2.438E-01	 1.688E+00	 1.027E+00	-6.974E+00	 3.421E-01	 6.957E-02	 4.873E-01	 3.407E+00
    7.8000	 7.800E+00	 0.000E+00	 0.000E+00	 7.236E-01	-6.722E-01	 7.802E+00	 7.236E-01	 3.144E-01	 7.113E+00	 2.135E+00	 1.295E+00	-1.463E-02	 1.055E+00	 1.447E+00	 7.941E+00	 9.761E-01	 1.398E+00	 1.055E+00	-6.962E+00	 3.381E-01	 6.964E-02	 4.805E-01	 3.407E+00
    7.9000	 7.900E+00	 0.000E+00	 0.000E+00	 7.317E-01	-3.080E-01	 8.046E+00	 7.317E-01	-5.901E-02	 6.869E+00	 2.160E+00	 6.749E-01	-1.442E-02	 1.082E+00	 1.463E+00	 8.148E+00	 1.668E+00	 3.528E-01	 1.082E+00	-6.950E+00	 3.338E-01	 6.965E-02	 4.737E-01	 3.407E+00
    8.0000	 8.000E+00	 0.000E+00	 0.000E+00	 7.397E-01	 1.236E-01	 7.972E+00	 7.397E-01	-4.997E-01	 6.943E+00	 2.183E+00	-6.031E-02	-1.423E-02	 1.109E+00	 1.479E+00	 8.351E+00	 1.459E+00	-8.833E-01	 1.109E+00	-6.939E+00	 3.295E-01	 6.962E-02	 4.670E-01	 3.407E+00
