ELASTODYN     V1.00.*       INDIVIDUAL BLADE INPUT FILE
Turbine EllipticWing, Generated by script .\Main_CreateFAST_TowerBlade.py V112-3.075MW  
--- BLADE PARAMETERS ---
51            NBlInpSt      Number of blade input stations (-)
0.477465      BldFlDmp(1)   Blade flap mode #1 structural damping in percent of critical (%)
0.477465      BldFlDmp(2)   Blade flap mode #2 structural damping in percent of critical (%)
0.477465      BldEdDmp(1)   Blade edge mode #1 structural damping in percent of critical (%)
--- BLADE ADJUSTMENT FACTORS ---
1             FlStTunr(1)   Blade flapwise modal stiffness tuner, 1st mode (-)
1             FlStTunr(2)   Blade flapwise modal stiffness tuner, 2nd mode (-)
1             AdjBlMs       Factor to adjust blade mass density (-)
1             AdjFlSt       Factor to adjust blade flap stiffness (-)
1             AdjEdSt       Factor to adjust blade edge stiffness (-)
--- DISTRIBUTED BLADE PROPERTIES ---
        BlFract               StrcTwst               BMassDen               FlpStff                 EdgStff
          (-)                   (deg)                 (kg/m)                 (Nm^2)                  (Nm^2)
 0.000000000000000E+00  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 2.000000000000000E-02  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 4.000000000000000E-02  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 6.000000000000000E-02  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 8.000000000000000E-02  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 1.000000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 1.200000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 1.400000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 1.600000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 1.800000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 2.000000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 2.200000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 2.400000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 2.600000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 2.800000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 3.000000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 3.200000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 3.400000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 3.600000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 3.800000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 4.000000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 4.200000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 4.400000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 4.600000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 4.800000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 5.000000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 5.200000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 5.400000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 5.600000000000001E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 5.800000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 6.000000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 6.200000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 6.400000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 6.600000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 6.800000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 7.000000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 7.200000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 7.400000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 7.600000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 7.800000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 8.000000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 8.200000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 8.400000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 8.600000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 8.800000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 9.000000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 9.200000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 9.399999999999999E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 9.600000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 9.800000000000000E-01  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
 1.000000000000000E+00  0.000000000000000E+00  1.000000000000000E+00  1.000000000000000E+06  1.000000000000000E+06
--- BLADE MODE SHAPES ---
-0.0805       BldFl1Sh(2)   Flap mode 1, coeff of x^2
1.3886        BldFl1Sh(3)   , coeff of x^3
-1.4034       BldFl1Sh(4)   , coeff of x^4
1.7811        BldFl1Sh(5)   , coeff of x^5
-0.6858       BldFl1Sh(6)   , coeff of x^6
-0.6132       BldFl2Sh(2)   Flap mode 2, coeff of x^2
3.3421        BldFl2Sh(3)   , coeff of x^3
-12.934       BldFl2Sh(4)   , coeff of x^4
15.0825       BldFl2Sh(5)   , coeff of x^5
-3.8774       BldFl2Sh(6)   , coeff of x^6
0.5134        BldEdgSh(2)   Edge mode 1, coeff of x^2
0.0631        BldEdgSh(3)   , coeff of x^3
0.485         BldEdgSh(4)   , coeff of x^4
0.3324        BldEdgSh(5)   , coeff of x^5
-0.3938       BldEdgSh(6)   , coeff of x^6
