
Predictions were generated on 11-May-2018 at 12:52:06 using OpenFAST, compiled as a 64-bit application using double precision at commit v1.0.0-50-g50332ea2-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST Certification Test #10: UAE Phase VI (upwind) with no DOFs in a ramped wind.

Time      	Wind1VelX 	Wind1VelY 	Wind1VelZ 	RootFxc1  	RootFyc1  	RootFzc1  	RootFxc2  	RootFyc2  	RootFzc2  	RootMOoP1 	RootMIP1  	RootMzc1  	RotTorq   	RotThrust 	RotPwr    	LSSGagMya 	LSSGagMza 	YawBrMxp  	YawBrMyp  	RtAeroCp  	RtAeroCq  	RtAeroCt  	GenPwr    
(s)       	(m/s)     	(m/s)     	(m/s)     	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN)      	(kW)      	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(-)       	(-)       	(-)       	(kW)      
    5.0000	 5.000E+00	 0.000E+00	 0.000E+00	 3.518E-01	-1.458E-02	 6.857E+00	 3.518E-01	-7.755E-02	 8.058E+00	 1.072E+00	 6.599E-02	-1.651E-02	 2.796E-01	 7.035E-01	 2.105E+00	-1.703E+00	-8.924E-02	 2.796E-01	-7.476E+00	 3.403E-01	 4.493E-02	 5.685E-01	 3.407E+00
    5.1000	 5.100E+00	 0.000E+00	 0.000E+00	 3.659E-01	-4.375E-01	 6.998E+00	 3.659E-01	 3.382E-01	 7.918E+00	 1.112E+00	 7.927E-01	-1.676E-02	 3.001E-01	 7.319E-01	 2.260E+00	-1.304E+00	 1.099E+00	 3.001E-01	-7.457E+00	 3.442E-01	 4.635E-02	 5.685E-01	 3.407E+00
    5.2000	 5.200E+00	 0.000E+00	 0.000E+00	 3.803E-01	-6.508E-01	 7.387E+00	 3.803E-01	 5.442E-01	 7.528E+00	 1.153E+00	 1.161E+00	-1.702E-02	 3.215E-01	 7.607E-01	 2.421E+00	-1.995E-01	 1.693E+00	 3.215E-01	-7.437E+00	 3.478E-01	 4.777E-02	 5.683E-01	 3.407E+00
    5.3000	 5.300E+00	 0.000E+00	 0.000E+00	 3.949E-01	-5.413E-01	 7.815E+00	 3.949E-01	 4.270E-01	 7.100E+00	 1.194E+00	 9.762E-01	-1.729E-02	 3.438E-01	 7.898E-01	 2.589E+00	 1.012E+00	 1.372E+00	 3.438E-01	-7.417E+00	 3.513E-01	 4.917E-02	 5.680E-01	 3.407E+00
    5.4000	 5.400E+00	 0.000E+00	 0.000E+00	 4.097E-01	-1.702E-01	 8.049E+00	 4.097E-01	 4.788E-02	 6.866E+00	 1.236E+00	 3.438E-01	-1.757E-02	 3.670E-01	 8.193E-01	 2.763E+00	 1.677E+00	 3.090E-01	 3.670E-01	-7.396E+00	 3.545E-01	 5.056E-02	 5.676E-01	 3.407E+00
    5.5000	 5.500E+00	 0.000E+00	 0.000E+00	 4.246E-01	 2.597E-01	 7.964E+00	 4.246E-01	-3.903E-01	 6.951E+00	 1.278E+00	-3.892E-01	-1.785E-02	 3.911E-01	 8.492E-01	 2.945E+00	 1.435E+00	-9.212E-01	 3.911E-01	-7.376E+00	 3.576E-01	 5.194E-02	 5.671E-01	 3.407E+00
    5.6000	 5.600E+00	 0.000E+00	 0.000E+00	 4.397E-01	 5.138E-01	 7.605E+00	 4.397E-01	-6.529E-01	 7.310E+00	 1.321E+00	-8.209E-01	-1.811E-02	 4.160E-01	 8.793E-01	 3.132E+00	 4.171E-01	-1.653E+00	 4.160E-01	-7.355E+00	 3.603E-01	 5.329E-02	 5.665E-01	 3.407E+00
    5.7000	 5.700E+00	 0.000E+00	 0.000E+00	 4.548E-01	 4.523E-01	 7.166E+00	 4.548E-01	-6.003E-01	 7.749E+00	 1.364E+00	-7.123E-01	-1.835E-02	 4.417E-01	 9.096E-01	 3.326E+00	-8.262E-01	-1.492E+00	 4.417E-01	-7.334E+00	 3.628E-01	 5.461E-02	 5.656E-01	 3.407E+00
    5.8000	 5.800E+00	 0.000E+00	 0.000E+00	 4.700E-01	 1.061E-01	 6.885E+00	 4.700E-01	-2.633E-01	 8.030E+00	 1.407E+00	-1.161E-01	-1.856E-02	 4.682E-01	 9.401E-01	 3.525E+00	-1.623E+00	-5.235E-01	 4.682E-01	-7.313E+00	 3.650E-01	 5.591E-02	 5.646E-01	 3.407E+00
    5.9000	 5.900E+00	 0.000E+00	 0.000E+00	 4.853E-01	-3.400E-01	 6.914E+00	 4.853E-01	 1.734E-01	 8.002E+00	 1.450E+00	 6.513E-01	-1.872E-02	 4.954E-01	 9.706E-01	 3.730E+00	-1.542E+00	 7.276E-01	 4.954E-01	-7.292E+00	 3.669E-01	 5.717E-02	 5.633E-01	 3.407E+00
    6.0000	 6.000E+00	 0.000E+00	 0.000E+00	 5.005E-01	-6.475E-01	 7.236E+00	 5.005E-01	 4.713E-01	 7.679E+00	 1.493E+00	 1.181E+00	-1.881E-02	 5.232E-01	 1.001E+00	 3.940E+00	-6.277E-01	 1.585E+00	 5.232E-01	-7.270E+00	 3.685E-01	 5.839E-02	 5.617E-01	 3.407E+00
    6.1000	 6.100E+00	 0.000E+00	 0.000E+00	 5.156E-01	-6.526E-01	 7.679E+00	 5.156E-01	 4.666E-01	 7.237E+00	 1.536E+00	 1.194E+00	-1.884E-02	 5.517E-01	 1.031E+00	 4.154E+00	 6.261E-01	 1.586E+00	 5.517E-01	-7.250E+00	 3.697E-01	 5.956E-02	 5.599E-01	 3.407E+00
    6.2000	 6.200E+00	 0.000E+00	 0.000E+00	 5.307E-01	-3.553E-01	 8.001E+00	 5.307E-01	 1.593E-01	 6.914E+00	 1.578E+00	 6.886E-01	-1.879E-02	 5.806E-01	 1.061E+00	 4.372E+00	 1.541E+00	 7.293E-01	 5.806E-01	-7.229E+00	 3.706E-01	 6.068E-02	 5.578E-01	 3.407E+00
    6.3000	 6.300E+00	 0.000E+00	 0.000E+00	 5.457E-01	 8.103E-02	 8.030E+00	 5.457E-01	-2.872E-01	 6.885E+00	 1.621E+00	-5.471E-02	-1.867E-02	 6.102E-01	 1.091E+00	 4.594E+00	 1.623E+00	-5.218E-01	 6.102E-01	-7.208E+00	 3.712E-01	 6.176E-02	 5.555E-01	 3.407E+00
    6.4000	 6.400E+00	 0.000E+00	 0.000E+00	 5.606E-01	 4.177E-01	 7.750E+00	 5.606E-01	-6.343E-01	 7.166E+00	 1.663E+00	-6.273E-01	-1.850E-02	 6.402E-01	 1.121E+00	 4.820E+00	 8.277E-01	-1.491E+00	 6.402E-01	-7.187E+00	 3.715E-01	 6.279E-02	 5.530E-01	 3.407E+00
    6.5000	 6.500E+00	 0.000E+00	 0.000E+00	 5.754E-01	 4.700E-01	 7.311E+00	 5.754E-01	-6.971E-01	 7.604E+00	 1.705E+00	-7.128E-01	-1.829E-02	 6.708E-01	 1.151E+00	 5.051E+00	-4.154E-01	-1.654E+00	 6.708E-01	-7.167E+00	 3.715E-01	 6.378E-02	 5.503E-01	 3.407E+00
    6.6000	 6.600E+00	 0.000E+00	 0.000E+00	 5.902E-01	 2.067E-01	 6.952E+00	 5.902E-01	-4.445E-01	 7.964E+00	 1.746E+00	-2.579E-01	-1.805E-02	 7.019E-01	 1.180E+00	 5.284E+00	-1.434E+00	-9.227E-01	 7.019E-01	-7.146E+00	 3.713E-01	 6.473E-02	 5.474E-01	 3.407E+00
    6.7000	 6.700E+00	 0.000E+00	 0.000E+00	 6.047E-01	-2.327E-01	 6.866E+00	 6.047E-01	-1.587E-02	 8.049E+00	 1.787E+00	 4.985E-01	-1.779E-02	 7.331E-01	 1.209E+00	 5.520E+00	-1.677E+00	 3.072E-01	 7.331E-01	-7.126E+00	 3.708E-01	 6.561E-02	 5.443E-01	 3.407E+00
    6.8000	 6.800E+00	 0.000E+00	 0.000E+00	 6.187E-01	-6.134E-01	 7.100E+00	 6.187E-01	 3.541E-01	 7.815E+00	 1.827E+00	 1.155E+00	-1.752E-02	 7.644E-01	 1.237E+00	 5.755E+00	-1.014E+00	 1.371E+00	 7.644E-01	-7.107E+00	 3.698E-01	 6.641E-02	 5.406E-01	 3.407E+00
