time_[s],x_[m],y_[m],z_[m],theta_x_[rad],theta_y_[rad],theta_z_[rad],xdot_[m/s],ydot_[m/s],zdot_[m/s],omega_x_g_[rad/s],omega_y_g_[rad/s],omega_z_g_[rad/s],xddot_[m^2/s],yddot_[m^2/s],zddot_[m^2/s],alpha_x_g_[rad/s],alpha_y_g_[rad/s],alpha_z_g_[rad/s]
0.0000,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0285,0.0000,0.0225,0.0000,-0.0106,0.0000
0.0300,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0006,0.0000,0.0000,0.0000,-0.0003,0.0000,-0.0129,0.0000,0.0018,0.0000,-0.0094,0.0000
0.0600,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0008,0.0000,0.0002,0.0000,-0.0006,0.0000,-0.0023,0.0000,0.0067,0.0000,-0.0096,0.0000
0.0900,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0008,0.0000,0.0003,0.0000,-0.0009,0.0000,0.0021,0.0000,0.0043,0.0000,-0.0102,0.0001
0.1200,20.0000,0.0000,0.0000,0.0000,-0.0001,0.0000,-0.0006,0.0000,0.0004,0.0000,-0.0012,0.0000,0.0117,0.0000,0.0013,0.0000,-0.0104,0.0001
0.1500,20.0000,0.0000,0.0000,0.0000,-0.0001,0.0000,-0.0002,0.0000,0.0003,0.0000,-0.0015,0.0000,0.0137,0.0000,-0.0022,0.0000,-0.0116,0.0001
0.1800,20.0000,0.0000,0.0000,0.0000,-0.0002,0.0000,0.0003,0.0000,0.0001,0.0000,-0.0019,0.0000,0.0188,0.0000,-0.0127,-0.0001,-0.0120,0.0001
0.2100,20.0000,0.0000,0.0000,0.0000,-0.0002,0.0000,0.0009,0.0000,-0.0002,0.0000,-0.0022,0.0000,0.0215,-0.0001,-0.0120,-0.0001,-0.0129,0.0002
0.2400,20.0000,0.0000,0.0000,0.0000,-0.0003,0.0000,0.0016,0.0000,-0.0007,0.0000,-0.0026,0.0000,0.0257,0.0000,-0.0156,-0.0001,-0.0133,0.0002
0.2700,20.0000,0.0000,0.0000,0.0000,-0.0004,0.0000,0.0025,0.0000,-0.0011,0.0000,-0.0030,0.0000,0.0342,0.0000,-0.0133,-0.0001,-0.0133,0.0002
0.3000,20.0000,0.0000,0.0000,0.0000,-0.0005,0.0000,0.0036,0.0000,-0.0014,0.0000,-0.0034,0.0000,0.0398,0.0000,-0.0104,-0.0002,-0.0134,0.0002
0.3300,20.0000,0.0000,-0.0001,0.0000,-0.0006,0.0000,0.0048,0.0000,-0.0018,0.0000,-0.0038,0.0000,0.0408,0.0000,-0.0109,-0.0002,-0.0134,0.0002
0.3600,20.0000,0.0000,-0.0001,0.0000,-0.0007,0.0000,0.0061,0.0000,-0.0021,0.0000,-0.0042,0.0000,0.0425,0.0000,-0.0090,-0.0003,-0.0134,0.0002
0.3900,20.0000,0.0000,-0.0002,0.0000,-0.0008,0.0000,0.0073,0.0000,-0.0023,0.0000,-0.0046,0.0000,0.0395,0.0000,-0.0097,-0.0003,-0.0134,0.0002
